,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,15.16,16.00,16.62,16.36,15.97,13.88,12.66,2.51,8.07,13.18
Days Sales Outstanding,24.08,22.81,21.96,22.31,22.85,26.30,28.82,145.25,45.22,27.70
Inventory Turnover,385.16,392.12,381.93,412.36,475.66,530.45,590.44,73.61,156.06,340.11
Days Inventory Outstanding,0.95,0.93,0.96,0.89,0.77,0.69,0.62,4.96,2.34,1.07
Accounts Payable Turnover,6.55,6.56,7.15,8.09,8.54,7.37,7.59,1.45,3.53,6.83
Accounts Payable Turnover Days,55.69,55.63,51.04,45.09,42.75,49.54,48.12,250.96,103.35,53.44
Cash Conversion Cycle,-30.66,-31.88,-28.13,-21.89,-19.14,-22.56,-18.68,-100.75,-55.78,-24.67
Inventory to Cash Days,23.14,21.88,21.01,21.43,22.08,25.61,28.21,140.30,42.88,26.63
Inventories,12,13,14,15,17,13,16,22,34,39
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,12,13,14,15,17,13,16,22,34,39
