,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),35.66,31.06,25.91,22.78,18.74,23.60,26.50,17.63,20.59,20.01
Return on Assets (%),23.34,24.46,24.10,23.23,19.57,25.37,30.01,20.41,24.38,26.00
Return on Capital (%),35.73,29.41,22.52,18.69,15.26,19.51,21.76,14.28,16.28,16.22
Return on Invested Capital (%),43.58,45.42,44.06,41.19,35.87,59.05,60.10,39.34,41.79,50.47
Gross Margin (%),79.16,78.21,78.22,79.35,78.50,78.50,79.05,75.25,76.23,76.33
EBITDA Margin (%),58.18,57.29,56.95,58.01,56.61,59.32,60.33,57.08,57.73,60.13
Operating Margin (%),55.09,53.90,53.16,54.55,53.11,56.25,57.24,53.29,53.89,56.75
Incremental Operating Margin (%),67.12,45.08,17.01,66.64,44.10,72.28,64.87,95.45,56.43,72.89
Pretax Margin (%),53.92,53.62,51.29,52.39,52.19,48.19,57.64,50.72,54.58,52.76
Profit Margin (%),37.34,38.18,39.39,37.67,31.33,39.19,48.08,41.90,46.00,44.66
Net Income to Common Margin (%),37.34,38.18,39.39,37.67,31.33,39.19,48.08,41.90,46.00,44.66
Effective Tax Rate (%),30.76,28.79,23.19,28.11,39.97,18.67,16.58,17.38,15.72,15.36
Dvd Payout Ratio (%),8.18,14.24,19.09,20.62,24.06,17.82,16.57,25.04,20.04,19.16
Sustainable Growth Rate (%),32.74,26.64,20.97,18.08,14.23,19.40,22.11,13.22,16.46,16.17
