,2019,2020,2021,2022
Total Debt,4525,4735,4517,4435
ST Debt,70,172,0,20
LT Debt,4455,4563,4517,4415
Total Debt/EBITDA,4.88,5.04,4.52,3.78
Net Debt/EBITDA,4.85,5.01,4.47,3.75
Total Debt/EBIT,10.52,11.08,9.72,7.05
Net Debt/EBIT,10.47,11.02,9.60,6.99
EBITDA to Interest Expense,5.16,5.61,6.37,7.58
EBITDA-CapEx/Interest Expense,4.10,4.26,4.59,5.67
EBIT to Interest Expense,2.39,2.55,2.96,4.06
Interest Expense,180,168,157,155
Common Equity/Total Assets,-9.66,-11.55,-11.12,-10.38
Long-Term Debt/Equity (%),70.67,74.75,73.04,71.09
Long-Term Debt/Capital (%),121.67,124.72,130.89,127.87
Long-Term Debt/Total Assets (%),39.67,40.76,40.02,39.27
Total Debt/Equity (%),71.78,77.57,73.04,71.41
Total Debt/Capital (%),123.58,129.42,130.89,128.45
Total Debt/Total Assets (%),40.29,42.29,40.02,39.45
Net Debt to Equity,71.45,77.16,72.16,70.79
Net Debt/Capital (%),123.72,129.62,131.38,128.78
EBITDA,928,939,999,1173
EBITDA-CapEx,738,714,720,877
Operating Income (Loss),430,428,465,629
