,2019,2020,2021,2022
Shares Outstanding,114,114,115,115
Diluted Weighted Avg Shares,114,115,115,116
Basic Weighted Avg Shares,114,114,115,115
Revenue per Share,14.41,14.69,15.50,17.51
EBITDA per Share,8.15,8.22,8.71,10.17
Operating Income per Share,3.78,3.74,4.05,5.45
"Basic EPS, GAAP",3.08,2.20,4.62,5.49
Basic EPS from Cont Ops,3.22,2.31,4.80,5.68
"Diluted EPS, GAAP",3.07,2.19,4.61,5.48
Diluted EPS from Cont Ops,3.21,2.31,4.79,5.66
Dividend per Share,3.88,4.04,4.13,4.71
Cash Flow per Share,6.86,7.22,7.80,9.18
Free Cash Flow per Basic Share,5.19,5.24,5.36,6.61
Cash & Equivalents per Share,0.18,0.22,0.47,0.33
Book Value per Share,-9.49,-11.31,-10.88,-10.11
Tangible Book Value per Share,55.15,53.36,53.61,53.78
