,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0
Return on Assets (%),0,2.27,4.75,5.66
Return on Capital (%),0,11.24,18.85,0
Return on Invested Capital (%),0,3.90,4.21,0
Gross Margin (%),32.38,31.39,32.25,37.29
EBITDA Margin (%),56.55,55.97,56.20,58.07
Operating Margin (%),26.22,25.48,26.14,31.13
Incremental Operating Margin (%),0,-7.26,37.32,67.83
Pretax Margin (%),22.47,15.84,31.67,32.03
Profit Margin (%),21.56,15.19,30.02,31.56
Net Income to Common Margin (%),21.34,14.97,29.81,31.38
Effective Tax Rate (%),1.00,1.25,2.42,0
Dvd Payout Ratio (%),116.50,169.78,83.42,80.73
Sustainable Growth Rate (%),0,0,0,0
