,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),83.56,118.97,66.67,0,0,6990.48,0,0,0,0
Return on Assets (%),3.94,12.14,5.53,9.08,10.03,13.49,17.95,22.66,7.22,15.68
Return on Capital (%),9.97,0,10.72,17.57,20.70,24.65,33.24,40.04,16.56,30.57
Return on Invested Capital (%),12.06,0,13.03,21.11,24.71,28.65,28.27,32.19,30.45,31.13
Gross Margin (%),27.59,28.01,31.55,33.38,34.16,32.17,35.35,35.99,34.19,31.26
EBITDA Margin (%),10.51,11.11,14.66,16.13,16.95,16.35,18.73,19.87,19.12,16.91
Operating Margin (%),8.23,9.15,12.80,14.31,15.29,14.49,16.36,18.02,17.31,15.24
Incremental Operating Margin (%),66.12,30.75,-9.72,64.65,40.42,5.87,6.90,41.16,13.06,-41.64
Pretax Margin (%),5.31,6.75,9.65,11.28,11.58,12.47,13.63,15.73,8.21,13.74
Profit Margin (%),3.33,10.05,4.97,6.67,6.97,8.78,13.94,17.03,4.90,9.72
Net Income to Common Margin (%),3.33,10.05,4.97,6.67,6.97,8.78,13.94,17.03,4.90,9.72
Effective Tax Rate (%),25.58,0,42.53,35.66,34.46,24.76,25.16,23.78,30.52,24.14
Dvd Payout Ratio (%),29.40,12.25,28.97,22.18,20.57,16.07,19.75,15.86,38.64,26.71
Sustainable Growth Rate (%),59.00,104.40,47.36,0,0,5867.31,0,0,0,0
