,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Accounts Receivable Turnover,12.03,11.89,11.26,10.97,11.60,11.92,12.10,12.18,13.98,14.57
Days Sales Outstanding,30.34,30.69,32.41,33.27,31.47,30.62,30.17,29.98,26.11,25.06
Inventory Turnover,10.94,12.15,12.11,12.23,12.48,12.27,13.10,12.57,13.22,13.77
Days Inventory Outstanding,33.37,30.05,30.13,29.83,29.24,29.75,27.87,29.04,27.61,26.51
Accounts Payable Turnover,7.05,7.24,6.72,6.28,6.27,6.15,6.17,6.00,6.50,6.59
Accounts Payable Turnover Days,51.79,50.43,54.34,58.11,58.19,59.37,59.19,60.81,56.19,55.42
Cash Conversion Cycle,11.92,10.31,8.19,5.00,2.51,0.99,-1.16,-1.79,-2.47,-3.86
Inventory to Cash Days,-3.03,0.64,2.27,3.44,2.23,0.87,2.30,0.93,-1.50,-1.45
Inventories,13308,14296,15335,15278,16310,16709,16734,19246,18702,19691
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,13308,14296,15335,15278,16310,16709,16734,19246,18702,19691
