,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,6.12,6.77,8.07,9.88,9.77,10.47,11.56,11.79,12.40,11.61
Days Sales Outstanding,59.62,53.89,45.21,36.93,37.37,34.85,31.56,30.96,29.45,31.43
Inventory Turnover,5.93,5.99,5.95,6.22,6.30,6.05,6.05,6.21,6.52,6.63
Days Inventory Outstanding,61.55,60.90,61.31,58.67,57.94,60.29,60.38,58.74,55.95,55.06
Accounts Payable Turnover,4.44,4.02,3.39,3.07,2.89,2.72,2.66,2.69,2.71,2.92
Accounts Payable Turnover Days,82.13,90.84,107.78,119.00,126.37,134.34,137.27,135.58,134.73,125.06
Cash Conversion Cycle,39.04,23.94,-1.25,-23.40,-31.07,-39.20,-45.33,-45.89,-49.33,-38.57
Inventory to Cash Days,-1.93,-7.01,-16.10,-21.75,-20.57,-25.44,-28.81,-27.78,-26.51,-23.62
Inventories,3743,3480,2609,2469,2557,2592,2546,2647,2708,3381
Raw Materials,1165,1122,782,722,711,726,707,718,770,1031
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,2578,2358,1930,1865,1975,1987,1953,2059,2054,2501
Other Inventory,0,169,0,0,0,0,0,0,0,0
