,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0,0,0,0,0,0,0,0,0
Current Ratio,0,0,0,0,0,0,0,0,0,0
Quick Ratio,0,0,0,0,0,0,0,0,0,0
CFO/Avg Current Liab,0,0,0,0,0,0,0,0,0,0
Common Equity/Total Assets,3.09,3.55,4.05,3.84,3.69,4.21,4.47,4.59,5.42,6.30
Long-Term Debt/Equity (%),34.69,26.81,30.98,29.15,31.99,30.17,25.03,23.73,25.22,65.25
Long-Term Debt/Capital (%),43.01,37.30,36.97,36.04,40.90,35.19,33.11,32.34,29.01,29.58
Long-Term Debt/Total Assets (%),2.47,2.16,2.42,2.19,2.62,2.32,2.24,2.23,2.25,2.67
Total Debt/Equity (%),34.96,26.95,31.12,29.51,32.80,30.67,25.38,24.26,25.73,65.89
Total Debt/Capital (%),43.35,37.49,37.14,36.49,41.94,35.78,33.58,33.05,29.59,29.87
Total Debt/Total Assets (%),2.49,2.17,2.43,2.22,2.68,2.36,2.28,2.28,2.29,2.70
CFO/Total Liabilities,1.96,1.97,1.75,1.78,1.86,1.85,2.05,1.62,1.82,2.07
CFO/CapEx,0,0,0,0,0,0,0,0,0,0
Altman's Z-Score,0.16,0.17,0.17,0.16,0.19,0.20,0.20,0.19,0.22,0.25
