,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,3086,3132,3250,3472,4073,4509,4429,5364,5238,5895
"+ Cash, Cash Equivalents & STI",54,98,82,122,85,119,177,1340,592,668
+ Cash & Cash Equivalents,54,98,82,122,85,119,135,769,269,510
+ ST Investments,0,0,0,0,0,0,43,572,323,158
+ Accounts & Notes Receiv,1063,1082,1258,1376,1558,1606,1527,1709,1840,1905
"+ Accounts Receivable, Net",1063,1082,1258,1376,1558,1606,1527,1709,1840,1905
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,1572,1543,1607,1676,1949,2288,2282,1913,2392,2794
+ Raw Materials,404,393,387,411,463,540,527,415,570,647
+ Work In Process,129,129,137,137,160,166,145,126,144,161
+ Finished Goods,1039,1021,1083,1128,1326,1582,1611,1372,1678,1986
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,396,409,304,298,481,496,443,401,415,529
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,5408,5153,6692,6759,8022,8590,8957,8964,8986,8225
"+ Property, Plant & Equip, Net",453,276,511,497,1055,1173,1225,600,413,62
"+ Property, Plant & Equip",2702,2703,3147,3370,4271,4700,5022,4914,5027,5049
- Accumulated Depreciation,2248,2427,2636,2873,3215,3527,3797,4314,4614,4987
+ LT Investments & Receivables,0,0,0,0,0,0,0,0,0,0
+ LT Investments,0,0,0,0,0,0,0,0,0,0
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,4955,4877,6181,6262,6967,7417,7732,8364,8573,8163
+ Total Intangible Assets,2548,2306,3230,3109,3363,3483,3499,3602,3508,2786
+ Goodwill,1736,1604,2293,2274,2471,2521,2570,2651,2608,1928
+ Other Intangible Assets,812,702,937,835,892,962,929,952,900,858
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,2407,2571,2952,3153,3603,3934,4233,4761,5065,5377
Total Assets,8494,8286,9942,10231,12095,13099,13387,14328,14225,14120
+ Payables & Accruals,1194,1105,1256,1336,1452,1524,1559,1896,2217,2124
+ Accounts Payable,1194,1105,1256,1336,1452,1524,1559,1896,1229,1094
+ Accrued Taxes,1,0,0,0,0,0,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,-1,0,0,0,0,0,0,0,989,1030
+ ST Debt,127,851,2003,1383,1204,1742,1153,475,729,946
+ ST Borrowings,127,851,2003,1383,1204,1742,1051,377,625,841
+ ST Finance Leases,0,0,0,0,0,0,102,98,104,105
+ Other ST Liabilities,0,0,0,0,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,11,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,-11,0,0,0,0,0,0,0,0,0
Total Current Liabilities,1321,1956,3259,2718,2655,3266,2713,2371,2946,3070
+ LT Debt,2133,1402,1197,1129,1560,1516,1747,2592,1998,2275
+ LT Borrowings,2133,1402,1197,1129,1560,1516,1518,2357,1700,1979
+ LT Finance Leases,0,0,0,0,0,0,228,235,297,296
+ Other LT Liabilities,570,505,626,600,813,877,801,824,852,758
+ Accrued Liabilities,570,505,604,576,783,877,801,824,852,445
+ Pension Liabilities,0,0,0,0,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,0,0,22,24,29,0,0,0,0,313
Total Noncurrent Liabilities,2703,1907,1822,1729,2372,2393,2548,3415,2850,3032
Total Liabilities,4024,3863,5082,4447,5028,5659,5260,5787,5796,6103
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,1568,1600,1761,1792,1829,1853,1869,1886,1912,1931
+ Common Stock,1,1,1,1,1,1,1,1,1,1
+ Additional Paid in Capital,1567,1599,1760,1792,1828,1852,1868,1885,1911,1931
- Treasury Stock,239,239,216,216,216,216,216,216,216,215
+ Retained Earnings,2954,3487,4103,5033,6005,6588,7232,7559,7692,7410
+ Other Equity,179,-429,-794,-833,-559,-792,-766,-695,-967,-1114
Equity Before Minority Interest,4461,4418,4854,5776,7059,7434,8120,8534,8421,8012
+ Minority/Non Controlling Interest,9,5,7,7,8,6,7,7,7,6
Total Equity,4470,4423,4861,5783,7067,7440,8126,8541,8428,8018
Total Liabilities & Equity,8494,8286,9942,10231,12095,13099,13387,14328,14225,14120
Shares Outstanding,73,73,74,74,74,72,72,70,66,64
Capital Leases - Total,0,0,0,0,0,0,330,333,402,401
Net Debt,2206,2156,3118,2390,2679,3139,2435,1966,2056,2310
Net Debt to Equity,49.35,48.74,64.15,41.32,37.90,42.19,29.97,23.01,24.39,28.80
