,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,7349,7803,8072,8959,9491,9984,9971,9552,11201,11737
+ Sales & Services Revenue,7349,7803,8072,8959,9491,9984,9971,9552,11201,11737
- Cost of Revenue,5428,5649,5661,6146,6495,7146,7295,7122,7932,8794
+ Cost of Goods & Services,5428,5649,5661,6146,6495,7146,7295,7122,7932,8794
Gross Profit,1921,2154,2411,2813,2996,2838,2676,2431,3269,2943
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,1374,1381,1573,1533,1642,1743,1849,1795,1934,2003
"+ Selling, General & Admin",1374,1381,1573,1533,1642,1743,1849,1795,1934,2003
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),547,773,838,1280,1354,1095,827,636,1335,940
- Non-Operating (Income) Loss,101,109,89,39,36,46,78,52,45,756
"+ Interest Expense, Net",92,98,71,41,31,39,41,52,57,52
+ Interest Expense,92,98,71,41,31,39,41,52,57,52
- Interest Income,0,0,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,9,11,18,-2,5,7,36,-1,-12,704
Pretax Income,446,664,749,1241,1318,1049,750,584,1290,184
- Income Tax Expense (Benefit),78,132,132,308,343,184,5,69,256,158
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,367,532,617,934,975,865,745,516,1034,26
- Net Extraordinary Losses (Gains),19,1,3,6,6,6,1,0,1,1
+ Discontinued Operations,-18,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,37,1,3,6,6,6,1,0,1,1
Income (Loss) Incl. MI,348,532,614,927,969,859,744,515,1033,25
- Minority Interest,-1,0,-2,-3,-3,-3,0,0,0,-1
"Net Income, GAAP",349,532,615,930,972,862,744,516,1033,25
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",349,532,615,930,972,862,744,516,1033,25
Basic Weighted Avg Shares,72,73,74,74,74,74,72,71,69,64
"Basic EPS, GAAP",4.86,7.30,8.37,12.55,13.07,11.58,10.34,7.24,15.01,0.40
Basic EPS from Cont Ops,5.12,7.31,8.39,12.60,13.11,11.62,10.34,7.24,15.01,0.40
Diluted Weighted Avg Shares,72,73,74,75,75,75,72,71,69,64
"Diluted EPS, GAAP",4.82,7.25,8.31,12.48,12.98,11.52,10.30,7.22,15.01,0.40
Diluted EPS from Cont Ops,5.08,7.26,8.33,12.52,13.02,11.57,10.30,7.22,15.01,0.40
EBITDA,856,1118,1200,1689,1801,1617,1404,1244,1927,1535
EBITDA Margin (%),11.65,14.33,14.87,18.86,18.97,16.20,14.08,13.02,17.20,13.08
EBITA,547,773,838,1280,1354,1095,827,636,1335,940
EBIT,547,773,838,1280,1354,1095,827,636,1335,940
Gross Margin (%),26.14,27.61,29.87,31.40,31.57,28.43,26.84,25.45,29.18,25.08
Operating Margin (%),7.44,9.90,10.38,14.29,14.27,10.97,8.30,6.66,11.92,8.01
Profit Margin (%),4.75,6.82,7.62,10.38,10.24,8.63,7.46,5.40,9.22,0.22
Sales per Employee,228933,241593,236703,237013,244621,237141,238533,227433,260479,286970
Dividend per Share,0,0,0,0,0,0,0,0,0,0
Depreciation Expense,309,346,363,409,447,522,576,608,592,595
