,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,0,0,0,0,0,98,94,88,83
ST Debt,0,0,0,0,0,0,0,0,0,0
LT Debt,0,0,0,0,0,0,98,94,88,83
Total Debt/EBITDA,0,0,0,0,0,0,0.35,0.22,0.22,0.21
Net Debt/EBITDA,-1.10,-1.24,-1.20,-0.80,-0.76,-1.05,-0.95,-1.10,-1.27,-1.09
Total Debt/EBIT,0,0,0,0,0,0,0.39,0.25,0.26,0.25
Net Debt/EBIT,-1.24,-1.43,-1.35,-0.88,-0.83,-1.16,-1.08,-1.23,-1.50,-1.32
EBITDA to Interest Expense,0,0,0,0,0,0,0,365.64,472.07,562.90
EBITDA-CapEx/Interest Expense,0,0,0,0,0,0,0,352.50,451.29,544.13
EBIT to Interest Expense,0,0,0,0,0,0,0,328.13,400.52,466.97
Interest Expense,0,0,0,0,0,0,0,1,1,1
Common Equity/Total Assets,14.55,26.83,38.30,48.34,60.85,66.62,61.91,60.05,62.54,68.52
Long-Term Debt/Equity (%),0,0,0,0,0,0,12.72,9.80,8.49,7.65
Long-Term Debt/Capital (%),0,0,0,0,0,0,14.22,10.48,8.46,6.98
Long-Term Debt/Total Assets (%),0,0,0,0,0,0,10.26,7.03,5.78,5.14
Total Debt/Equity (%),0,0,0,0,0,0,12.72,9.80,8.49,7.65
Total Debt/Capital (%),0,0,0,0,0,0,14.22,10.48,8.46,6.98
Total Debt/Total Assets (%),0,0,0,0,0,0,10.26,7.03,5.78,5.14
Net Debt to Equity,-42.75,-50.54,-51.12,-35.95,-32.44,-40.52,-35.08,-48.25,-48.66,-39.84
Net Debt/Capital (%),162.75,252.16,632.13,-193.34,-89.46,-113.49,-64.46,-106.62,-94.05,-57.16
EBITDA,120,136,166,209,221,236,284,418,397,394
EBITDA-CapEx,105,131,162,203,209,200,271,403,380,381
Operating Income (Loss),107,119,148,192,202,213,251,375,337,327
