,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,0,0,0,0,0,0,0,0,0,10500
- Cash & Cash Equivalents,133,169,200,168,167,246,270,461,507,431
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,0,0,0,0,0,0,98,94,88,83
Enterprise Value,-200,-234,-284,-168,-167,-246,-172,-386,-430,10118
Total Capital,51,102,168,255,354,463,689,893,1046,1184
Total Debt/Capital (%),0,0,0,0,0,0,14.22,10.48,8.46,6.98
Total Debt / EV,0,0,0,0,0,0,-0.57,-0.24,-0.21,0.01
EV/Sales,0,0,0,0,0,0,0,0,0,14.09
EV/EBITDA,0,0,0,0,0,0,0,0,0,25.68
EV/EBIT,0,0,0,0,0,0,0,0,0,30.95
EV/Cash Flow to Firm,0,0,0,0,0,0,0,0,0,34.92
EV/Free Cash Flow to Firm,0,0,0,0,0,0,0,0,0,33.40
Diluted Market Cap,0,0,0,0,0,0,0,0,0,10498
Diluted Enterprise Value,-133,-169,-200,-168,-167,-246,-172,-367,-418,10150
EV per Share,0,0,0,0,0,0,0,0,0,268.74
TTM Sales,239,263,303,370,397,436,511,689,699,718
TTM EBITDA,120,136,166,209,221,236,284,418,397,394
TTM Operating Income,107,119,148,192,202,213,251,375,337,327
TTM Cash Flow to Firm,91,110,120,80,168,224,266,405,283,290
TTM Free Cash Flow to Firm,106,115,125,87,180,260,278,420,300,303
