,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,0,0,0,0,0,41.76
Price/Earnings Average,0,0,0,0,0,0,0,0,0,19.77
Price/Earnings High,0,0,0,0,0,0,0,0,0,90.81
Price/Earnings Low,0,0,0,0,0,0,0,0,0,0.59
Price/Book Value,0,0,0,0,0,0,0,0,0,9.53
Price/Book Value Average,0,0,0,0,0,0,0,0,0,4.51
Price/Book Value High,0,0,0,0,0,0,0,0,0,20.73
Price/Book Value Low,0,0,0,0,0,0,0,0,0,0.14
Price/Tangible Book Value,0,0,0,0,0,0,0,0,0,12.68
Price/Tangible Book Value Average,0,0,0,0,0,0,0,0,0,6.00
Price/Tangible Book Value High,0,0,0,0,0,0,0,0,0,27.57
Price/Tangible Book Value Low,0,0,0,0,0,0,0,0,0,0.18
Price/Sales,0,0,0,0,0,0,0,0,0,14.55
Price/Sales Average,0,0,0,0,0,0,0,0,0,6.89
Price/Sales High,0,0,0,0,0,0,0,0,0,31.63
Price/Sales Low,0,0,0,0,0,0,0,0,0,0.21
Price/Cash Flow,0,0,0,0,0,0,0,0,0,36.13
Price/Cash Flow Average,0,0,0,0,0,0,0,0,0,17.11
Price/Cash Flow High,0,0,0,0,0,0,0,0,0,78.56
Price/Cash Flow Low,0,0,0,0,0,0,0,0,0,0.51
Price/Free Cash Flow,0,0,0,0,0,0,0,0,0,34.72
Price/Free Cash Flow Average,0,0,0,0,0,0,0,0,0,16.44
Price/Free Cash Flow High,0,0,0,0,0,0,0,0,0,75.50
Price/Free Cash Flow Low,0,0,0,0,0,0,0,0,0,0.49
EV/Sales,0,0,0,0,0,0,0,0,0,14.09
EV/Sales Average,0,0,0,0,0,0,0,0,0,6.44
EV/Sales High,0,0,0,0,0,0,0,0,0,31.30
EV/Sales Low,0,0,0,0,0,0,0,0,0,0
EV/EBITDA,0,0,0,0,0,0,0,0,0,25.68
EV/EBITDA Average,-1.10,-1.24,-1.20,-0.80,-0.76,-1.05,-0.61,-0.88,-1.05,11.73
EV/EBITDA High,-1.10,-1.24,-1.20,-0.80,-0.76,-1.05,-0.61,-0.88,-1.05,57.06
EV/EBITDA Low,-1.10,-1.24,-1.20,-0.80,-0.76,-1.05,-0.61,-0.88,-1.05,-0.50
EV/EBIT,0,0,0,0,0,0,0,0,0,30.95
EV/EBIT Average,-1.24,-1.43,-1.35,-0.88,-0.83,-1.16,-0.69,-0.98,-1.24,14.14
EV/EBIT High,-1.24,-1.43,-1.35,-0.88,-0.83,-1.16,-0.69,-0.98,-1.24,68.78
EV/EBIT Low,-1.24,-1.43,-1.35,-0.88,-0.83,-1.16,-0.69,-0.98,-1.24,-0.61
Last Price,0,0,0,0,0,0,0,0,0,278.89
High Price,0,0,0,0,0,0,0,0,0,606.45
Low Price,0,0,0,0,0,0,0,0,0,3.96
Enterprise Value,-200,-234,-284,-168,-167,-246,-172,-386,-430,10118
Enterprise Value Average,-133,-169,-200,-168,-167,-246,-172,-367,-418,4624
Enterprise Value High,-133,-169,-200,-168,-167,-246,-172,-367,-418,22484
Enterprise Value Low,-133,-169,-200,-168,-167,-246,-172,-367,-418,-199
