,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,1031,1585,1583,1686,3027,3120,2774,2674,5155,5040
ST Debt,12,14,29,180,300,390,340,49,54,699
LT Debt,1019,1571,1554,1506,2727,2730,2434,2626,5101,4341
Total Debt/EBITDA,2.63,2.73,2.11,1.75,3.01,2.98,2.21,1.91,3.47,2.93
Net Debt/EBITDA,2.52,2.54,1.88,1.70,1.57,2.93,2.19,1.73,3.26,2.72
Total Debt/EBIT,4.73,4.43,3.24,2.49,4.27,4.43,3.13,2.66,5.00,4.15
Net Debt/EBIT,4.53,4.13,2.90,2.41,2.23,4.37,3.11,2.40,4.69,3.85
EBITDA to Interest Expense,7.32,8.78,9.85,11.80,11.00,7.65,9.72,11.86,10.40,10.19
EBITDA-CapEx/Interest Expense,4.42,5.27,5.68,7.05,6.51,4.90,6.68,8.81,7.43,7.34
EBIT to Interest Expense,4.07,5.41,6.39,8.30,7.75,5.14,6.85,8.52,7.23,7.19
Interest Expense,54,66,76,82,92,137,129,118,143,169
Common Equity/Total Assets,35.25,16.26,12.57,12.82,16.02,17.73,20.51,24.65,21.97,24.81
Long-Term Debt/Equity (%),64.67,36.09,38.27,36.36,58.24,55.17,45.46,44.56,78.02,60.52
Long-Term Debt/Capital (%),45.94,56.10,63.13,57.38,61.00,56.68,50.14,49.68,61.31,49.54
Long-Term Debt/Total Assets (%),31.24,21.05,22.32,20.63,30.33,28.59,24.02,24.82,35.44,28.95
Total Debt/Equity (%),65.46,36.42,38.99,40.70,64.65,63.05,51.81,45.38,78.85,70.27
Total Debt/Capital (%),46.50,56.61,64.33,64.24,67.71,64.78,57.14,50.60,61.96,57.52
Total Debt/Total Assets (%),31.62,21.24,22.74,23.10,33.66,32.67,27.38,25.28,35.81,33.61
Net Debt to Equity,62.77,33.93,34.84,39.50,33.76,62.14,51.42,41.04,74.07,65.27
Net Debt/Capital (%),45.45,54.86,61.71,63.54,52.27,64.44,56.96,47.63,60.07,55.71
EBITDA,392,581,752,963,1006,1048,1257,1400,1483,1722
EBITDA-CapEx,237,348,433,576,596,672,863,1041,1060,1240
Operating Income (Loss),218,358,488,678,709,704,885,1007,1032,1216
