,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,12733,11765,10986,11726,14277,13709,12971,14982,15403,14688
"+ Cash, Cash Equivalents & STI",3337,2523,1916,2678,4129,3233,2451,5038,4765,3893
+ Cash & Cash Equivalents,2581,1897,1798,2398,3053,2853,2353,4634,4564,3655
+ ST Investments,756,626,118,280,1076,380,98,404,201,238
+ Accounts & Notes Receiv,4253,4238,4154,4392,4911,5020,4791,4705,4660,4532
"+ Accounts Receivable, Net",4253,4238,4154,4392,4911,5020,4791,4705,4660,4532
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,3864,3706,3518,3385,4034,4366,4134,4239,4985,5372
+ Raw Materials,935,902,855,717,901,954,937,932,1212,1269
+ Work In Process,1139,1081,1008,1039,1218,1292,1194,1226,1577,1606
+ Finished Goods,1790,1723,1655,1629,1915,2120,2003,2081,2196,2497
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,1279,1298,1398,1271,1203,1090,1595,1000,993,891
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,20817,19504,21732,21180,23710,22791,31688,32362,31669,31767
"+ Property, Plant & Equip, Net",-5764,-5863,-6068,-6467,-7182,-7397,-6600,-6944,-7497,-6813
"+ Property, Plant & Equip",8652,8489,8515,8516,8866,8738,10191,10285,10287,10007
- Accumulated Depreciation,14416,14352,14583,14983,16048,16135,16791,17229,17784,16820
+ LT Investments & Receivables,1575,930,126,145,150,188,196,214,262,967
+ LT Investments,1575,930,126,145,150,188,196,214,262,967
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,25006,24437,27674,27502,30742,30000,38092,39092,38904,37613
+ Total Intangible Assets,9033,8485,11850,11486,13449,12708,19823,19637,18774,17489
+ Goodwill,7345,7050,9249,9166,10513,10051,13444,13802,13486,12790
+ Other Intangible Assets,1688,1435,2601,2320,2936,2657,6379,5835,5288,4699
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,15973,15952,15824,16016,17293,17292,18269,19455,20130,20124
Total Assets,33550,31269,32718,32906,37987,36500,44659,47344,47072,46455
+ Payables & Accruals,2924,2974,2670,2775,3125,3258,3124,3608,4274,4134
+ Accounts Payable,1799,1807,1694,1798,1945,2266,2228,2561,2994,3183
+ Accrued Taxes,417,435,332,299,310,243,194,300,260,259
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,708,732,644,678,870,749,702,747,1020,692
+ ST Debt,1683,106,2044,972,1853,1211,3042,1062,1570,2199
+ ST Borrowings,1683,106,2044,972,1853,1211,2795,806,1307,1938
+ ST Finance Leases,0,0,0,0,0,0,247,256,263,261
+ Other ST Liabilities,2891,2918,2404,2472,2709,2775,3056,3278,3191,3190
+ Deferred Revenue,521,541,518,551,513,617,430,498,529,538
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,37,34,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,2333,2343,1886,1921,2196,2158,2626,2780,2662,2652
Total Current Liabilities,7498,5998,7118,6219,7687,7244,9222,7948,9035,9523
+ LT Debt,4326,6731,8753,10678,12096,13411,17518,17989,16056,14001
+ LT Borrowings,4326,6731,8753,10678,12096,13411,17518,17989,16056,14001
+ LT Finance Leases,58,59,46,45,60,75,718,702,684,655
+ Other LT Liabilities,3778,5398,5100,5666,6582,5997,7793,8476,6864,8161
+ Accrued Liabilities,557,162,570,160,272,279,301,333,458,559
+ Pension Liabilities,1794,3843,3520,4005,3620,2987,3911,4405,2870,1966
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,1427,1393,1010,1501,2690,2731,3581,3738,3536,5636
Total Noncurrent Liabilities,8104,12129,13853,16344,18678,19408,25311,26465,22920,22162
Total Liabilities,15602,18127,20971,22563,26365,26652,34533,34413,31955,31685
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,4384,4388,4800,5070,5361,5652,5916,6171,6438,6700
+ Common Stock,9,9,9,9,9,9,9,9,9,9
+ Additional Paid in Capital,4375,4379,4791,5061,5352,5643,5907,6162,6429,6691
- Treasury Stock,15385,19307,23308,25434,25887,29626,29849,29404,30463,33255
+ Retained Earnings,32416,34317,36575,37907,39115,40636,42135,43761,45821,47950
+ Other Equity,-3913,-6289,-6359,-7245,-7026,-6866,-8139,-7661,-6750,-6673
Equity Before Minority Interest,17502,13109,11708,10298,11563,9796,10063,12867,15046,14722
+ Minority/Non Controlling Interest,446,33,39,45,59,52,63,64,71,48
Total Equity,17948,13142,11747,10343,11622,9848,10126,12931,15117,14770
Total Liabilities & Equity,33550,31269,32718,32906,37987,36500,44659,47344,47072,46455
Shares Outstanding,663,635,609,597,595,577,575,578,572,549
Capital Leases - Total,58,59,46,45,60,75,965,958,947,916
Net Debt,3428,4940,8999,9252,10896,11769,17960,14161,12799,12284
Net Debt to Equity,19.10,37.59,76.61,89.45,93.75,119.51,177.37,109.51,84.67,83.17
Tangible Common Equity Ratio,36,20,0,-5,-7,-12,-39,-24,-13,-9
Current Ratio,1.70,1.96,1.54,1.89,1.86,1.89,1.41,1.89,1.70,1.54
Cash Conversion Cycle,96.13,92.30,94.24,92.81,97.22,102.04,97.72,93.57,86.03,89.83
Number of Employees,88667,89800,89446,91584,91536,93516,96163,95000,95000,92000
