,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,4721,4998,4841,5058,4869,5363,4582,5388,5929,5791
+ Depreciation & Amortization,1371,1408,1435,1474,1544,1488,1593,1911,1915,1831
+ Non-Cash Items,-115,320,934,137,-532,-140,92,356,361,-1361
+ Stock-Based Compensation,240,280,276,298,324,302,278,262,274,263
+ Deferred Income Taxes,-167,-146,395,7,107,-57,-273,-165,-166,-663
+ Asset Impairment Charge,0,0,0,0,0,0,0,6,0,889
+ Other Non-Cash Adj,-188,186,263,-168,-963,-385,87,253,253,-1850
+ Chg in Non-Cash Work Cap,-160,-100,-790,-7,359,-272,803,458,-751,-670
+ (Inc) Dec in Accts Receiv,-296,-268,-58,-313,-245,-305,345,165,-122,-105
+ (Inc) Dec in Inventories,-86,-113,3,57,-387,-509,370,-91,-903,-629
+ (Inc) Dec in Prepaid Assets,0,0,0,0,0,0,0,0,0,0
+ Inc (Dec) in Accts Payable,222,281,-735,249,991,542,88,384,274,64
+ Inc (Dec) in Other,0,0,0,0,0,0,0,0,0,0
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,5817,6626,6420,6662,6240,6439,7070,8113,7454,5591
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,128,135,33,58,49,262,123,128,51,200
+ Disp of Fixed Prod Assets,128,135,33,58,49,262,123,128,51,200
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-1665,-1493,-1461,-1420,-1373,-1577,-1699,-1501,-1603,-1749
+ Acq of Fixed Prod Assets,-1665,-1493,-1461,-1420,-1373,-1577,-1699,-1501,-1603,-1749
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,-3413,-526,648,1084,556,-1159,-192,232,204,11
+ Dec in LT Investment,627,754,1300,1247,1354,669,1443,1811,2406,1261
+ Inc in LT Investment,-4040,-1280,-652,-163,-798,-1828,-1635,-1579,-2202,-1250
+ Net Cash From Acq & Div,8,-94,-2791,126,-958,859,-4748,551,0,491
+ Cash from Divestitures,8,0,123,142,1065,859,236,576,0,491
+ Cash for Acq of Subs,0,-94,-2914,-16,-2023,0,-4984,-25,0,0
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,4086,1382,754,-1251,-1360,1837,72,10,31,1
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-856,-596,-2817,-1403,-3086,222,-6444,-580,-1317,-1046
+ Dividends Paid,-1730,-2216,-2561,-2678,-2803,-3193,-3316,-3388,-3420,-3369
+ Net Cash From Debt,-35,983,2622,1840,1025,1217,3565,-1732,-1143,-1178
+ Cash From Debt,824,2608,3422,2832,1987,2251,6281,1750,1,1
+ Repayments of Debt,-859,-1625,-800,-992,-962,-1034,-2716,-3482,-1144,-1179
+ Cash (Repurchase) of Equity,-3603,-4684,-4603,-2949,-1334,-4385,-860,-368,-2199,-1464
+ Increase in Capital Stock,1609,968,635,804,734,485,547,0,0,0
+ Decrease in Capital Stock,-5212,-5652,-5238,-3753,-2068,-4870,-1407,-368,-2199,-1464
+ Other Financing Activities,122,-686,894,-839,457,-340,-513,188,617,661
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,-5246,-6603,-3648,-4626,-2655,-6701,-1124,-5300,-6145,-5350
Effect of Foreign Exchange Rates,-17,-111,-54,-33,156,-160,-2,48,-62,-104
Net Changes in Cash,-285,-573,-45,633,499,-40,-498,2233,-8,-805
EBITDA,8037,8543,8381,8697,8778,8148,7653,8683,9284,5917
EBITDA Margin (%),26.03,26.85,27.68,28.89,27.73,24.87,23.81,26.98,26.26,17.29
Net Cash Paid for Acquisitions,-8,94,2791,-126,958,-859,4748,-551,0,-491
Free Cash Flow,4152,5133,4959,5242,4867,4862,5371,6612,5851,3842
Free Cash Flow to Firm,4256,5234,5065,5385,5075,5130,5730,7037,6252,4260
Free Cash Flow to Equity,4245,6251,7614,7140,5941,6341,9059,5008,4759,2864
Free Cash Flow per Basic Share,6.09,7.91,7.93,8.67,8.15,8.26,9.31,11.45,10.11,6.79
Price/Free Cash Flow,12.92,13.52,12.28,13.67,18.94,14.22,11.73,10.54,11.48,9.27
Cash Flow to Net Income,1.25,1.34,1.33,1.32,1.28,1.20,1.55,1.51,1.26,0.97
