,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,6590,6878,6086,7260,4344,4299,4824,7117,6083,7220
"+ Cash, Cash Equivalents & STI",3175,3321,2369,4569,1253,1333,2117,4945,4544,4030
+ Cash & Cash Equivalents,3175,3321,2369,4569,1253,1333,2117,4945,4544,4030
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,115,124,124,151,603,309,268,137,47,1769
"+ Accounts Receivable, Net",115,124,124,151,142,142,152,137,47,1721
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,461,167,116,0,0,48
+ Inventories,1879,2040,2031,2051,2225,2331,2293,1966,1194,1180
+ Raw Materials,1113,1191,1138,1056,1111,1126,1066,1044,910,890
+ Work In Process,394,429,444,512,560,647,696,502,23,24
+ Finished Goods,372,420,449,483,554,558,531,420,261,266
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,1421,1393,1562,489,263,326,146,69,298,241
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,28269,27597,26449,38672,38858,51339,44447,40297,33440,29734
"+ Property, Plant & Equip, Net",2028,1983,1982,1958,1914,1938,1999,2012,1553,1608
"+ Property, Plant & Equip",4817,4755,4877,4835,4879,4950,5074,5150,4432,4427
- Accumulated Depreciation,2789,2772,2895,2877,2965,3012,3075,3138,2879,2819
+ LT Investments & Receivables,8452,7797,6722,18880,18851,30496,23581,19529,13481,9600
+ LT Investments,8452,7797,6722,18880,18851,30496,23581,19529,13481,9600
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,17789,17817,17745,17834,18093,18905,18867,18756,18406,18526
+ Total Intangible Assets,17232,17334,17313,17321,17707,17475,17864,17792,17483,17561
+ Goodwill,5174,5285,5285,5285,5307,5196,5177,5177,5177,5177
+ Other Intangible Assets,12058,12049,12028,12036,12400,12279,12687,12615,12306,12384
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,557,483,432,513,386,1430,1003,964,923,965
