,2016,2017,2018,2019,2020,2021,2022
Total Debt,13,16,33,132,237,916,1200
ST Debt,0,0,0,0,30,211,196
LT Debt,13,16,33,132,207,705,1004
Total Debt/EBITDA,-0.06,-0.06,-0.09,-0.26,-0.32,0.07,0.12
Net Debt/EBITDA,0.24,0.54,1.70,0.46,3.59,-0.51,-0.33
Total Debt/EBIT,-0.06,-0.06,-0.08,-0.24,-0.31,0.07,0.13
Net Debt/EBIT,0.22,0.50,1.59,0.43,3.44,-0.52,-0.34
EBITDA to Interest Expense,0,1884.99,125.45,-77.84,-74.03,751.56,336.83
EBITDA-CapEx/Interest Expense,0,2327.42,159.62,-82.62,-80.86,735.78,323.03
EBIT to Interest Expense,0,2040.58,133.48,-82.53,-77.19,738.67,324.83
Interest Expense,0,0,-3,7,10,18,29
Common Equity/Total Assets,-25.81,-57.34,-51.30,-94.15,-30.58,40.37,70.85
Long-Term Debt/Equity (%),1.48,2.51,2.19,11.27,8.09,4.98,5.25
Long-Term Debt/Capital (%),1.52,2.75,-3.44,-9.70,-10.33,6.48,5.14
Long-Term Debt/Total Assets (%),0.88,1.45,1.71,8.33,2.83,2.86,3.88
Total Debt/Equity (%),1.48,2.51,2.19,11.27,9.26,6.48,6.28
Total Debt/Capital (%),1.52,2.75,-3.44,-9.70,-11.83,8.42,6.15
Total Debt/Total Assets (%),0.88,1.45,1.71,8.33,3.23,3.71,4.64
Net Debt to Equity,-5.95,-21.57,-43.02,-20.08,-102.44,-48.41,-16.76
Net Debt/Capital (%),-6.48,-30.96,40.35,14.74,56.67,-170.09,-19.64
EBITDA,-209,-249,-388,-515,-732,13528,9768
EBITDA-CapEx,-242,-307,-494,-546,-799,13244,9368
Operating Income (Loss),-224,-269,-413,-546,-763,13296,9420
