,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,0,8.31,8.46
Price/Earnings Average,0,0,-3.37,-11.66,-31.82,8.18,7.38
Price/Earnings High,0,0,-4.64,-19.17,-91.11,16.43,11.75
Price/Earnings Low,0,0,-2.66,-7.43,-9.02,3.41,5.42
Price/Book Value,0,0,-4.62,-4.28,-19.75,10.18,3.77
Price/Book Value Average,0,0,-5.39,-4.07,-11.08,10.02,3.29
Price/Book Value High,0,0,-7.43,-6.70,-31.73,20.13,5.24
Price/Book Value Low,0,0,-4.26,-2.60,-3.14,4.18,2.42
Price/Tangible Book Value,0,0,3.04,5.46,17.30,7.17,3.62
Price/Tangible Book Value Average,0,0,3.55,5.19,9.71,7.06,3.15
Price/Tangible Book Value High,0,0,4.89,8.53,27.79,14.17,5.02
Price/Tangible Book Value Low,0,0,2.80,3.31,2.75,2.94,2.32
Price/Sales,0,0,9.37,131.19,154.39,5.72,3.67
Price/Sales Average,0,0,10.93,124.74,86.60,5.63,3.20
Price/Sales High,0,0,15.06,205.15,247.98,11.30,5.10
Price/Sales Low,0,0,8.63,79.47,24.56,2.35,2.35
Price/Cash Flow,0,0,-3.47,-13.73,20.91,7.44,14.21
Price/Cash Flow Average,0,0,-4.05,-13.06,11.73,7.33,12.39
Price/Cash Flow High,0,0,-5.58,-21.47,33.58,14.72,19.73
Price/Cash Flow Low,0,0,-3.19,-8.32,3.33,3.06,9.10
Price/Free Cash Flow,0,0,-5.10,-14.74,20.23,7.80,13.89
Price/Free Cash Flow Average,0,0,-5.95,-14.02,11.35,7.68,12.11
Price/Free Cash Flow High,0,0,-8.20,-23.06,32.50,15.42,19.28
Price/Free Cash Flow Low,0,0,-4.70,-8.93,3.22,3.20,8.89
EV/Sales,1.29,2.47,25.83,113.26,145.53,5.16,3.14
EV/Sales Average,11.22,5.98,39.21,124.75,81.87,5.29,3.03
EV/Sales High,11.22,5.98,55.96,206.55,250.64,10.97,4.88
EV/Sales Low,11.22,5.98,29.87,78.69,16.99,2.01,2.19
EV/EBITDA,0,0,0,0,0,6.77,6.19
EV/EBITDA Average,-5.46,-4.25,-12.37,-11.64,-30.71,6.94,5.97
EV/EBITDA High,-5.46,-4.25,-17.65,-19.28,-94.00,14.38,9.63
EV/EBITDA Low,-5.46,-4.25,-9.42,-7.34,-6.37,2.64,4.33
EV/EBIT,0,0,0,0,0,6.89,6.42
EV/EBIT Average,-5.09,-3.93,-11.62,-10.98,-29.45,7.06,6.19
EV/EBIT High,-5.09,-3.93,-16.59,-18.18,-90.15,14.63,9.98
EV/EBIT Low,-5.09,-3.93,-8.85,-6.93,-6.11,2.68,4.49
Last Price,0,0,14.15,19.05,111.13,251.60,179.62
High Price,0,0,22.75,29.79,178.50,497.49,249.42
Low Price,0,0,13.03,11.54,17.68,103.26,115.03
Enterprise Value,131,436,3165,5440,39947,91584,60452
Enterprise Value Average,1139,1057,4804,5992,22473,93871,58295
Enterprise Value High,1139,1057,6855,9922,68797,194556,94022
Enterprise Value Low,1139,1057,3659,3780,4664,35682,42282
