,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,13.14,6.79,2.99,0.39,7.75,8.45
Days Sales Outstanding,0,27.78,53.76,122.09,937.64,47.08,43.20
Inventory Turnover,0,0,0,0,0.34,3.52,4.53
Days Inventory Outstanding,0,0,0,0,1070.36,103.73,80.53
Accounts Payable Turnover,0,0,0,0,4.28,25.04,12.48
Accounts Payable Turnover Days,0,0,0,0,85.28,14.57,29.24
Cash Conversion Cycle,0,0,0,0,1922.72,136.24,94.49
Inventory to Cash Days,0,0,0,0,-132.72,-56.65,-37.33
Inventories,0,0,0,0,47,1441,949
Raw Materials,0,0,0,0,36,870,575
Work In Process,0,0,0,0,9,338,205
Finished Goods,0,0,0,0,1,233,169
Other Inventory,0,0,0,0,0,0,0
