,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,169932,167118,165405,176834,203853,199128,207325,232942,243168,246216
ST Debt,6375,3656,3608,2370,3553,3581,9670,14144,10337,5135
LT Debt,163557,163462,161797,174464,200300,195547,197655,218798,232831,241081
Total Debt/EBITDA,112.46,143.94,115.43,101.86,116.29,107.99,78.44,61.80,57.68,61.58
Net Debt/EBITDA,47.25,68.67,55.86,76.87,89.95,79.87,59.65,43.91,37.08,38.39
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,-0.34,-0.32,-0.52,-0.52,-0.31,-0.18,-0.21,-0.98,-3.09,-0.33
EBITDA-CapEx/Interest Expense,-0.04,-0.05,-0.02,-0.14,-0.02,0.00,-0.07,-0.60,-1.40,-0.07
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,-4431,-3678,-2742,-3318,-5697,-10086,-12404,-3849,-1366,-12268
Common Equity/Total Assets,5.07,5.57,6.25,6.59,6.76,7.52,7.89,7.05,7.53,8.04
Long-Term Debt/Equity (%),236.94,226.70,212.38,226.06,255.27,240.21,239.01,212.12,218.42,238.15
Long-Term Debt/Capital (%),74.87,74.64,72.51,72.94,73.90,71.63,68.73,67.89,68.17,68.70
Long-Term Debt/Total Assets (%),19.64,20.39,20.55,21.41,23.52,22.91,22.07,19.61,19.60,20.43
Total Debt/Equity (%),246.17,231.77,217.11,229.13,259.80,244.61,250.70,225.83,228.12,243.22
Total Debt/Capital (%),77.79,76.31,74.12,73.93,75.21,72.94,72.09,72.28,71.20,70.16
Total Debt/Total Assets (%),20.41,20.85,21.00,21.70,23.93,23.33,23.15,20.88,20.47,20.86
Net Debt to Equity,103.42,110.56,105.08,172.92,200.96,180.93,190.66,160.44,146.65,151.60
Net Debt/Capital (%),59.54,60.58,58.09,68.16,70.12,66.60,66.26,64.94,61.38,59.44
EBITDA,1511,1161,1433,1736,1753,1844,2643,3769,4216,3998
EBITDA-CapEx,195,169,60,460,124,-21,817,2325,1908,920
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
