,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,21.37,12.90,10.85,14.18,16.59,8.18,9.68,10.36,12.11,13.64
Price/Earnings Average,17.79,10.80,12.08,10.02,14.58,10.39,8.39,7.51,11.08,13.95
Price/Earnings High,22.06,12.96,13.82,14.78,17.15,12.34,9.77,10.53,12.98,17.60
Price/Earnings Low,13.38,9.36,10.15,7.10,12.66,7.63,7.36,4.15,8.19,11.56
Price/Book Value,1.42,1.70,1.26,1.46,1.63,1.04,1.15,1.56,1.96,1.50
Price/Book Value Average,1.18,1.43,1.40,1.03,1.43,1.32,1.00,1.13,1.79,1.53
Price/Book Value High,1.47,1.71,1.60,1.52,1.68,1.57,1.16,1.59,2.10,1.94
Price/Book Value Low,0.89,1.24,1.18,0.73,1.24,0.97,0.87,0.63,1.32,1.27
Price/Tangible Book Value,1.07,1.35,1.05,1.30,1.54,1.05,1.25,1.59,2.38,2.09
Price/Tangible Book Value Average,0.89,1.13,1.17,0.92,1.35,1.33,1.08,1.15,2.18,2.14
Price/Tangible Book Value High,1.11,1.36,1.33,1.35,1.59,1.58,1.26,1.61,2.55,2.69
Price/Tangible Book Value Low,0.67,0.98,0.98,0.65,1.18,0.98,0.95,0.64,1.61,1.77
Price/Sales,1.91,2.31,1.85,2.39,2.61,1.78,2.12,2.40,3.13,2.86
Price/Sales Average,1.59,1.94,2.06,1.69,2.29,2.27,1.84,1.74,2.86,2.93
Price/Sales High,1.98,2.32,2.36,2.49,2.69,2.69,2.14,2.44,3.35,3.70
Price/Sales Low,1.20,1.68,1.73,1.20,1.99,1.66,1.61,0.96,2.12,2.43
Price/Cash Flow,1.65,66.34,16.75,31.92,-20.73,9.21,2.02,-4.31,5.19,-22.47
Price/Cash Flow Average,1.38,55.56,18.65,22.55,-18.22,11.70,1.75,-3.12,4.75,-22.98
Price/Cash Flow High,1.71,66.65,21.32,33.28,-21.44,13.88,2.04,-4.38,5.57,-29.01
Price/Cash Flow Low,1.04,48.16,15.67,15.99,-15.83,8.59,1.54,-1.73,3.51,-19.05
Price/Free Cash Flow,1.64,36.21,12.47,21.41,-33.22,7.46,1.96,-4.63,4.94,-43.88
Price/Free Cash Flow Average,1.36,30.32,13.89,15.13,-29.20,9.48,1.70,-3.36,4.52,-44.87
Price/Free Cash Flow High,1.69,36.37,15.88,22.32,-34.35,11.25,1.98,-4.71,5.30,-56.63
Price/Free Cash Flow Low,1.03,26.28,11.67,10.72,-25.36,6.96,1.49,-1.86,3.34,-37.19
EV/Sales,2.75,2.89,2.52,4.81,5.74,4.32,4.79,4.16,4.21,5.68
EV/Sales Average,4.16,4.64,4.74,6.03,6.97,6.42,6.11,5.86,5.77,6.15
EV/Sales High,4.55,5.03,5.03,6.84,7.37,6.84,6.41,6.65,6.26,6.91
EV/Sales Low,3.75,4.38,4.40,5.54,6.66,5.82,5.89,4.98,5.03,5.66
EV/EBITDA,55.78,80.81,58.41,90.55,117.46,88.30,70.50,50.01,56.33,71.34
EV/EBITDA Average,84.49,129.77,109.91,113.71,142.47,131.24,89.96,70.34,77.20,77.27
EV/EBITDA High,92.43,140.73,116.80,128.85,150.76,139.86,94.34,79.84,83.73,86.82
EV/EBITDA Low,76.30,122.46,102.21,104.43,136.29,118.99,86.69,59.79,67.29,71.03
EV/EBIT,0,0,0,0,0,0,0,0,0,0
EV/EBIT Average,0,0,0,0,0,0,0,0,0,0
EV/EBIT High,0,0,0,0,0,0,0,0,0,0
EV/EBIT Low,0,0,0,0,0,0,0,0,0,0
Last Price,30.85,39.00,32.23,42.25,52.47,39.37,50.96,67.84,98.80,85.02
High Price,31.85,39.18,41.04,44.04,54.25,59.38,51.44,68.97,105.95,109.73
Low Price,19.32,28.31,30.15,21.16,40.06,36.74,38.76,27.20,66.85,72.05
Enterprise Value,84288,93817,83698,157197,205902,162829,186340,188490,237503,285208
Enterprise Value Average,127664,150661,157501,197393,249747,242005,237762,265107,325480,308944
Enterprise Value High,139663,163384,167373,223683,264288,257904,249328,300918,353004,347107
Enterprise Value Low,115294,142177,146464,181299,238915,219420,229116,225330,283710,283993
