,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,5369,9200,12786,9657,8317,12843,7049,4442,3532,7519
ST Debt,260,193,2132,163,175,4398,62,59,47,3555
LT Debt,5109,9007,10654,9494,8141,8445,6986,4382,3485,3965
Total Debt/EBITDA,26.35,46.29,72.92,48.14,42.19,71.75,23.39,13.87,10.90,17.32
Net Debt/EBITDA,10.53,7.24,21.81,16.63,9.22,17.50,-5.23,-64.86,-122.38,-43.66
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,-0.72,-0.71,-0.53,-0.47,-0.51,-0.34,-0.40,-0.98,-2.84,-1.02
EBITDA-CapEx/Interest Expense,-0.26,-0.45,-0.28,-0.22,-0.31,-0.15,-0.16,-0.45,-1.53,-0.52
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,-284,-280,-328,-426,-387,-526,-749,-326,-114,-425
Common Equity/Total Assets,20.68,19.56,19.03,19.83,21.24,21.44,22.76,19.90,19.86,19.46
Long-Term Debt/Equity (%),45.19,73.01,65.87,57.59,50.10,54.62,44.45,27.07,19.47,15.66
Long-Term Debt/Capital (%),21.41,30.70,28.49,26.84,23.44,21.21,19.63,12.86,9.66,8.16
Long-Term Debt/Total Assets (%),6.00,9.32,8.68,7.69,6.86,7.03,5.83,3.07,2.25,1.98
Total Debt/Equity (%),47.49,74.58,79.06,58.58,51.18,83.07,44.85,27.44,19.73,29.70
Total Debt/Capital (%),22.50,31.35,34.20,27.31,23.94,32.25,19.81,13.04,9.79,15.47
Total Debt/Total Assets (%),6.30,9.52,10.41,7.82,7.01,10.69,5.88,3.11,2.28,3.75
Net Debt to Equity,18.97,11.66,23.64,20.24,11.18,20.26,-10.02,-128.34,-221.62,-74.87
Net Debt/Capital (%),10.39,6.67,13.45,11.49,6.43,10.40,-5.84,-234.56,556.67,-85.72
EBITDA,204,199,175,201,197,179,301,320,324,434
EBITDA-CapEx,74,126,93,93,118,81,123,148,175,220
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
