,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,1080,1080,1788,1602,1993,2259,3135,3841,3929,3836
ST Debt,0,0,40,20,14,14,14,0,100,0
LT Debt,1080,1080,1748,1582,1979,2246,3122,3841,3829,3836
Total Debt/EBITDA,1.98,2.17,4.52,4.07,6.54,3.02,4.10,4.83,4.26,4.15
Net Debt/EBITDA,-0.04,0.18,0.78,0.69,1.19,0.17,-0.01,3.90,3.38,3.53
Total Debt/EBIT,2.53,2.85,9.23,6.60,10.58,4.00,5.36,5.15,4.61,4.35
Net Debt/EBIT,-0.05,0.24,1.58,1.13,1.92,0.23,-0.01,4.16,3.66,3.70
EBITDA to Interest Expense,16.22,8.84,5.38,3.61,2.90,6.85,4.99,6.08,7.06,6.35
EBITDA-CapEx/Interest Expense,13.83,7.82,4.53,2.89,2.18,6.56,4.73,5.76,6.45,6.02
EBIT to Interest Expense,12.69,6.73,2.63,2.22,1.79,5.17,3.81,5.71,6.53,6.05
Interest Expense,34,56,74,109,105,109,154,131,130,146
Common Equity/Total Assets,-0.77,7.61,6.37,6.25,10.15,18.31,20.28,-276.45,-160.85,-186.06
Long-Term Debt/Equity (%),60.94,53.11,77.83,77.44,66.21,62.07,79.17,0,0,0
Long-Term Debt/Capital (%),95.32,74.64,68.25,76.55,62.88,52.31,53.45,-83.87,-91.05,-97.22
Long-Term Debt/Total Assets (%),25.50,25.26,33.56,34.06,33.73,32.66,37.46,126.08,75.63,91.70
Total Debt/Equity (%),60.94,53.11,79.61,78.42,66.67,62.45,79.52,-271.88,-2019.38,-1068.80
Total Debt/Capital (%),95.32,74.64,69.81,77.52,63.31,52.63,53.68,-83.87,-93.43,-97.22
Total Debt/Total Assets (%),25.50,25.26,34.32,34.49,33.97,32.86,37.63,126.08,77.60,91.70
Net Debt to Equity,-1.15,4.41,13.66,13.37,12.12,3.53,-0.10,-219.56,-1600.34,-909.31
Net Debt/Capital (%),-62.68,19.62,28.40,37.03,23.88,5.91,-0.15,-58.32,-62.02,-72.23
EBITDA,545,498,396,394,305,749,766,795,922,925
EBITDA-CapEx,465,441,334,316,229,718,727,752,842,876
Operating Income (Loss),426,379,194,243,188,565,585,746,852,881
