,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,13.83,14.02,13.29,13.36,12.62,14.62,16.47,10.99,18.33,16.76
Days Sales Outstanding,26.40,26.03,27.46,27.33,28.92,24.97,22.16,33.23,19.91,21.77
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,11.37,11.12,9.26,10.09,9.34,12.03,13.32,10.29,25.03,37.23
Accounts Payable Turnover Days,32.11,32.82,39.41,36.16,39.09,30.34,27.40,35.46,14.58,9.80
Cash Conversion Cycle,-5.71,-6.79,-11.95,-8.83,-10.16,-5.37,-5.24,-2.24,5.33,11.97
Inventory to Cash Days,26.40,26.03,27.46,27.33,28.92,24.97,22.16,33.23,19.91,21.77
Inventories,0,0,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
