,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,5.26,5.51,5.66,5.79,5.54,5.52,5.46,5.32,5.99,5.78
Days Sales Outstanding,69.36,66.24,64.53,63.04,65.87,66.16,66.83,68.62,60.92,63.17
Inventory Turnover,5.36,5.43,4.98,4.92,4.82,4.77,4.67,4.49,4.34,3.76
Days Inventory Outstanding,68.10,67.18,73.27,74.25,75.65,76.46,78.20,81.28,84.05,96.96
Accounts Payable Turnover,7.69,7.68,7.32,7.48,7.54,6.94,6.66,7.24,7.41,6.24
Accounts Payable Turnover Days,47.48,47.51,49.90,48.76,48.39,52.57,54.80,50.44,49.23,58.51
Cash Conversion Cycle,89.98,85.92,87.91,88.53,93.14,90.05,90.23,99.45,95.74,101.61
Inventory to Cash Days,1.25,-0.94,-8.73,-11.21,-9.78,-10.31,-11.37,-12.65,-23.12,-33.79
Inventories,210,205,214,222,255,269,274,298,415,442
Raw Materials,98,98,98,100,119,123,129,132,185,222
Work In Process,38,35,35,41,43,47,43,56,76,78
Finished Goods,74,72,81,80,94,99,102,110,154,142
Other Inventory,0,0,0,0,0,0,0,0,0,0
