,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,6037,6650,7390,9910,11155,4639,5851,7176,7280,7516
ST Debt,1585,1638,1089,756,1262,859,1310,270,155,103
LT Debt,4452,5012,6301,9154,9893,3780,4541,6906,7125,7413
Total Debt/EBITDA,2.79,1.27,1.30,3.08,1.14,0.23,0.46,0.83,0.56,0.45
Net Debt/EBITDA,1.46,0.30,0.76,1.36,0.50,-0.14,-0.15,-0.11,-0.08,-0.08
Total Debt/EBIT,16.82,2.13,2.46,42.17,1.90,0.31,0.79,2.39,1.08,0.77
Net Debt/EBIT,8.79,0.51,1.44,18.57,0.83,-0.18,-0.26,-0.33,-0.15,-0.14
EBITDA to Interest Expense,9.36,14.86,15.27,7.36,16.22,57.76,100.00,44.60,70.96,89.24
EBITDA-CapEx/Interest Expense,3.98,7.31,4.43,-5.95,8.34,31.80,23.59,2.22,16.15,25.39
EBIT to Interest Expense,1.55,8.88,8.08,0.54,9.79,43.84,57.63,15.48,37.00,51.59
Interest Expense,231,352,371,437,601,342,128,194,183,189
Common Equity/Total Assets,-0.56,12.61,23.59,19.64,29.35,56.51,63.16,62.41,66.57,71.51
Long-Term Debt/Equity (%),44.49,43.31,47.59,70.81,50.81,11.40,12.35,17.71,16.22,14.85
Long-Term Debt/Capital (%),65.54,48.72,44.93,56.63,44.21,12.59,12.07,16.98,15.34,13.50
Long-Term Debt/Total Assets (%),23.29,22.28,26.10,33.24,28.00,8.71,9.29,12.87,12.11,11.18
Total Debt/Equity (%),60.33,57.46,55.82,76.66,57.29,13.99,15.91,18.40,16.57,15.06
Total Debt/Capital (%),88.87,64.64,52.70,61.30,49.85,15.45,15.55,17.64,15.67,13.69
Total Debt/Total Assets (%),31.58,29.56,30.61,35.98,31.57,10.69,11.97,13.37,12.37,11.34
Net Debt to Equity,31.55,13.73,32.56,33.76,24.94,-8.18,-5.15,-2.52,-2.25,-2.72
Net Debt/Capital (%),80.68,25.89,36.73,36.29,28.12,-11.53,-6.21,-2.97,-2.55,-2.91
EBITDA,2163,5230,5665,3215,9747,19753,12800,8653,12985,16866
EBITDA-CapEx,919,2572,1644,-2602,5013,10874,3020,430,2955,4799
Operating Income (Loss),359,3127,2998,235,5886,14994,7376,3003,6771,9750
