,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.05,0.04,0.05,0.06,0.07,0.05,0.07,1.72,0.47,0.19
Current Ratio,0.17,0.14,0.14,0.18,0.21,0.17,0.20,1.86,0.89,0.37
Quick Ratio,0.07,0.06,0.07,0.08,0.09,0.07,0.09,1.74,0.78,0.25
CFO/Avg Current Liab,0.47,0.40,0.47,0.53,0.66,0.74,0.54,-0.93,-0.87,0.05
Common Equity/Total Assets,-2.97,1.22,4.63,9.26,13.93,19.07,22.95,-1.60,-25.61,-38.08
Long-Term Debt/Equity (%),107.98,159.35,152.55,128.67,98.93,97.45,92.94,268.28,475.60,18414.08
Long-Term Debt/Capital (%),96.22,88.65,82.80,76.82,68.77,61.88,56.96,101.48,151.23,192.66
Long-Term Debt/Total Assets (%),42.72,48.41,47.03,45.00,40.36,38.21,36.29,63.49,61.77,68.06
Total Debt/Equity (%),118.87,175.74,169.21,141.01,109.70,108.87,104.39,271.15,511.65,19859.06
Total Debt/Capital (%),105.92,97.77,91.84,84.19,76.26,69.13,63.98,102.56,162.69,207.78
Total Debt/Total Assets (%),47.03,53.39,52.16,49.32,44.75,42.69,40.77,64.17,66.45,73.40
CFO/Total Liabilities,11.82,7.88,12.30,14.69,19.00,22.45,17.92,-18.20,-15.14,1.14
CFO/CapEx,0.53,0.60,0.93,1.14,1.16,1.32,1.11,-2.70,-3.28,0.12
Altman's Z-Score,1.50,1.11,1.46,1.37,1.65,1.44,1.59,0.16,-0.50,-0.61
