,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,205,228,228,227,229,218,213,316,417,421
Diluted Weighted Avg Shares,209,212,230,228,229,224,216,255,365,420
Basic Weighted Avg Shares,203,207,227,227,228,223,215,255,365,420
Revenue per Share,12.66,15.14,19.18,21.46,23.66,27.15,30.07,5.02,1.77,11.54
EBITDA per Share,3.16,3.91,5.09,6.04,6.89,8.01,8.49,-4.46,-4.91,-1.77
Operating Income per Share,1.95,2.44,3.10,4.07,4.60,5.47,5.48,-7.37,-6.98,-3.70
"Basic EPS, GAAP",0.50,1.64,1.89,2.79,3.33,4.28,4.33,-15.75,-12.33,-5.41
Basic EPS from Cont Ops,0.51,1.66,1.89,2.79,3.33,4.28,4.33,-15.75,-12.33,-5.41
"Diluted EPS, GAAP",0.49,1.60,1.86,2.78,3.31,4.25,4.30,-15.75,-12.33,-5.41
Diluted EPS from Cont Ops,0.49,1.62,1.86,2.78,3.31,4.25,4.30,-15.75,-12.33,-5.41
Dividend per Share,0,0,0,0,0,0,0,0,0,0
Cash Flow per Share,2.34,3.08,4.61,5.46,6.95,9.31,8.48,-10.04,-6.75,0.50
Free Cash Flow per Basic Share,-2.07,-2.02,-0.36,0.65,0.94,2.28,0.86,-13.75,-8.81,-3.75
Cash & Equivalents per Share,0.28,0.37,0.51,0.56,0.77,0.75,1.19,10.46,4.19,2.25
Book Value per Share,-0.96,0.62,2.49,5.29,8.59,13.32,17.97,-0.94,-11.50,-16.77
Tangible Book Value per Share,9.85,3.70,6.91,10.26,15.50,17.26,20.22,11.90,4.40,-1.26
