,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,2634,2313,2364,3603,4207,3831,3718,5930,6216,5851
ST Debt,45,0,0,0,480,875,391,0,1018,664
LT Debt,2589,2313,2364,3603,3727,2956,3327,5930,5198,5187
Total Debt/EBITDA,2.98,2.38,2.27,3.20,3.42,3.04,2.91,3.91,3.38,3.05
Net Debt/EBITDA,2.50,1.94,1.98,2.84,3.11,2.61,2.39,1.84,2.96,2.55
Total Debt/EBIT,3.45,2.77,2.62,3.77,4.03,3.65,3.42,4.51,3.99,3.52
Net Debt/EBIT,2.90,2.26,2.29,3.35,3.67,3.13,2.81,2.13,3.49,2.95
EBITDA to Interest Expense,7.97,8.31,9.37,8.34,8.61,8.39,10.29,15.02,14.70,14.88
EBITDA-CapEx/Interest Expense,6.94,7.11,8.17,7.35,7.60,7.65,9.27,13.16,13.39,13.70
EBIT to Interest Expense,6.87,7.14,8.13,7.08,7.29,6.99,8.76,13.02,12.47,12.88
Interest Expense,111,117,111,135,143,150,124,101,125,129
Common Equity/Total Assets,23.68,27.25,30.12,24.60,25.16,29.04,36.12,31.31,32.15,34.56
Long-Term Debt/Equity (%),41.87,39.92,42.15,66.35,63.31,54.25,59.00,92.14,81.16,84.15
Long-Term Debt/Capital (%),46.13,41.24,39.82,50.86,45.57,35.23,38.04,51.28,40.95,39.67
Long-Term Debt/Total Assets (%),20.59,19.14,19.93,25.46,23.61,18.83,23.89,32.98,25.84,24.86
Total Debt/Equity (%),42.59,39.92,42.15,66.35,71.46,70.31,65.93,92.14,97.05,94.92
Total Debt/Capital (%),46.94,41.24,39.82,50.86,51.44,45.66,42.51,51.28,48.97,44.75
Total Debt/Total Assets (%),20.94,19.14,19.93,25.46,26.65,24.40,26.70,32.98,30.90,28.04
Net Debt to Equity,35.72,32.55,36.78,58.93,65.06,60.30,54.18,43.44,84.89,79.45
Net Debt/Capital (%),42.59,36.40,36.60,47.90,49.09,41.88,36.30,31.71,44.20,38.95
EBITDA,885,972,1040,1126,1231,1259,1276,1517,1837,1919
EBITDA-CapEx,770,832,907,992,1087,1148,1149,1329,1674,1767
Operating Income (Loss),763,835,902,956,1043,1049,1086,1315,1559,1661
