,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,508,506,493,500,512,495,495,495,500,492
Diluted Weighted Avg Shares,514,519,514,506,509,503,501,501,505,498
Basic Weighted Avg Shares,501,507,502,496,499,496,495,493,498,492
Revenue per Share,6.41,6.91,6.78,7.48,7.94,8.62,8.62,11.41,11.83,12.64
EBITDA per Share,1.77,1.92,2.07,2.27,2.47,2.54,2.58,3.08,3.69,3.90
Operating Income per Share,1.52,1.65,1.80,1.93,2.09,2.12,2.20,2.67,3.13,3.37
"Basic EPS, GAAP",0.77,0.82,0.85,0.22,1.47,0.92,1.56,1.89,2.38,2.28
Basic EPS from Cont Ops,0.77,0.82,0.85,0.22,1.47,0.92,1.56,1.89,2.38,2.28
"Diluted EPS, GAAP",0.75,0.80,0.83,0.21,1.44,0.91,1.55,1.86,2.35,2.26
Diluted EPS from Cont Ops,0.75,0.80,0.83,0.21,1.44,0.91,1.55,1.86,2.35,2.26
Dividend per Share,0.17,0.19,0.30,0.40,0.49,0.56,0.62,0.65,0.70,0.78
Cash Flow per Share,1.15,1.36,1.36,1.46,1.82,2.07,1.95,2.54,2.18,3.46
Free Cash Flow per Basic Share,0.92,1.08,1.10,1.19,1.53,1.85,1.69,2.16,1.85,3.16
Cash & Equivalents per Share,1.16,1.19,1.02,1.30,1.20,1.64,1.26,5.94,1.20,1.39
Book Value per Share,5.86,6.50,7.25,6.97,7.77,9.20,10.15,11.38,12.93,14.67
Tangible Book Value per Share,-4.70,-3.60,-3.54,-5.38,-6.19,-6.49,-6.01,-5.39,-9.68,-9.19
