,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,21875,20737,49945,53241,83194,111804,141871,232338,271745,131324
- Cash & Cash Equivalents,605,1114,1809,1468,2823,3794,5018,8206,6028,5147
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,500,900,2371,3364,6499,10360,14759,16309,15393,14353
Enterprise Value,21175,20028,50006,54871,86871,118370,151611,240442,281110,139618
Total Capital,1053,1719,4638,6093,10102,15618,22365,27330,32107,36172
Total Debt/Capital (%),47.50,52.35,51.13,55.22,64.34,66.33,65.99,59.67,47.94,39.68
Total Debt / EV,0.02,0.04,0.05,0.06,0.07,0.09,0.10,0.07,0.05,0.10
EV/Sales,4.84,3.64,7.38,6.21,7.43,7.49,7.52,9.62,9.47,4.42
EV/EBITDA,8.57,6.29,12.98,10.34,12.12,12.78,12.71,15.50,15.09,6.98
EV/EBIT,92.73,49.74,163.51,144.48,103.58,73.74,58.22,52.44,45.38,24.79
EV/Cash Flow to Firm,178.01,350.32,0,0,0,0,0,66.36,264.37,53.11
EV/Free Cash Flow to Firm,88.59,99.30,0,0,0,0,0,58.34,177.03,45.98
Diluted Market Cap,22299,21177,50939,54305,85770,115555,146060,238273,278729,133076
Diluted Enterprise Value,22194,20963,51501,56202,89447,122120,155801,246376,288094,142282
EV per Share,50.75,47.36,116.85,127.59,200.44,271.12,345.51,542.89,633.18,313.51
TTM Sales,4375,5505,6780,8831,11693,15794,20156,24996,29698,31616
TTM EBITDA,2470,3184,3853,5305,7169,9262,11924,15508,18633,19996
TTM Operating Income,228,403,306,380,839,1605,2604,4585,6195,5633
TTM Cash Flow to Firm,119,57,-608,-1366,-1379,-2265,-2321,3623,1063,2629
TTM Free Cash Flow to Firm,239,202,-439,-1182,-1152,-2053,-2068,4121,1588,3037
