,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,0,0,0,0,87.09,49.34,46.93,41.97,35.26
Days Sales Outstanding,0,0,0,0,0,4.19,7.40,7.78,8.70,10.35
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,31.64,24.21,20.18,21.29,22.78,21.61,20.11,22.96,23.21,25.41
Accounts Payable Turnover Days,11.54,15.08,18.09,17.14,16.02,16.89,18.15,15.90,15.73,14.37
Cash Conversion Cycle,-11.54,-15.08,-18.09,-17.14,-16.02,-12.70,-10.75,-8.12,-7.03,-4.02
Inventory to Cash Days,0,0,0,0,0,4.19,7.40,7.78,8.70,10.35
Inventories,0,0,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
