,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,2159,2467,1577,1762,1763,2055,1854,1659,1921,2584
"+ Cash, Cash Equivalents & STI",27,25,16,26,29,113,139,117,84,41
+ Cash & Cash Equivalents,27,25,16,26,29,113,139,117,84,41
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,1082,1133,681,852,945,1147,905,825,925,1170
"+ Accounts Receivable, Net",1006,1070,660,847,899,1059,857,791,826,1042
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",76,63,21,5,46,88,49,34,100,128
+ Inventories,547,648,571,494,471,423,425,401,499,752
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,547,648,571,494,471,423,425,401,499,752
+ Other ST Assets,504,660,309,389,319,373,385,316,413,622
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,20495,22400,15915,16930,18198,19749,20806,20381,22236,24152
"+ Property, Plant & Equip, Net",14365,16017,12112,13068,14360,15543,16912,16620,17882,19843
"+ Property, Plant & Equip",23664,25642,18965,20050,21650,22820,24542,24180,25171,27551
- Accumulated Depreciation,9299,9625,6853,6982,7290,7277,7630,7560,7290,7709
+ LT Investments & Receivables,578,663,195,200,210,206,230,252,260,224
+ LT Investments,578,663,195,200,210,206,230,252,260,224
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
