,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,4023,5391,6325,7155,8651,9488,10516,8834,11166,11301
- Cash & Cash Equivalents,27,25,16,26,29,113,139,117,84,41
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,880,880,880,1547,1547
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,86,326,326
+ Total Debt,8834,9999,6950,7909,9002,9133,9643,9746,9802,11663
Enterprise Value,12830,15365,13259,15038,17624,19388,20900,19429,22755,24796
Total Capital,10123,11497,5830,6940,7933,8617,9156,8950,10097,12326
Total Debt/Capital (%),87.27,86.98,119.21,113.96,113.49,105.98,105.32,108.89,97.08,94.62
Total Debt / EV,0.69,0.65,0.52,0.53,0.51,0.47,0.46,0.50,0.43,0.47
EV/Sales,2.27,2.37,2.85,3.35,3.62,3.79,4.01,4.15,4.64,4.24
EV/EBITDA,7.70,8.58,10.00,10.71,11.86,26.72,10.33,11.52,12.91,12.51
EV/EBIT,11.77,12.97,16.54,17.54,19.24,153.99,16.01,20.21,22.43,21.35
EV/Cash Flow to Firm,7.56,9.66,7.90,14.57,20.79,31.26,11.21,15.32,15.22,14.52
EV/Free Cash Flow to Firm,4.42,5.35,4.36,6.00,6.93,7.95,5.70,6.42,6.83,6.34
Diluted Market Cap,4022,5400,6338,7162,8492,9084,10348,8666,11497,12139
Diluted Enterprise Value,12829,15374,13273,15045,17465,18983,20731,19261,23086,25634
EV per Share,40.90,48.62,41.55,46.53,52.30,52.07,54.69,49.60,56.14,60.16
TTM Sales,5657,6471,4652,4493,4875,5115,5209,4682,4900,5851
TTM EBITDA,1667,1790,1326,1404,1486,726,2023,1687,1763,1982
TTM Operating Income,1090,1184,802,857,916,126,1305,961,1015,1162
TTM Cash Flow to Firm,1697,1591,1679,1032,848,620,1864,1268,1495,1708
TTM Free Cash Flow to Firm,2902,2874,3040,2507,2543,2438,3666,3026,3333,3911
