,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),45.26,38.05,0,0,0,0,0,0,0,0
Return on Assets (%),2.39,2.23,1.35,1.83,0.66,-0.24,1.72,-0.08,2.53,3.16
Return on Capital (%),8.21,7.41,5.69,8.78,3.15,0,7.47,0,9.01,9.94
Return on Invested Capital (%),4.93,4.76,3.42,4.77,2.07,0,6.38,0,5.11,5.18
Gross Margin (%),34.79,32.61,34.01,36.70,35.77,19.56,44.53,42.43,41.87,38.47
EBITDA Margin (%),29.47,27.66,28.50,31.26,30.49,14.19,38.83,36.04,35.98,33.88
Operating Margin (%),19.27,18.30,17.23,19.08,18.79,2.46,25.06,20.54,20.71,19.85
Incremental Operating Margin (%),13.97,11.59,21.05,-34.97,15.41,-329.39,1249.26,65.21,24.41,15.46
Pretax Margin (%),13.31,13.00,7.31,11.36,9.09,-4.51,9.73,-0.67,14.42,16.35
Profit Margin (%),9.41,8.19,6.16,7.38,2.64,-0.99,7.35,-0.38,11.94,13.74
Net Income to Common Margin (%),9.41,8.19,6.16,7.38,2.64,-1.28,6.30,-1.55,10.81,12.80
Effective Tax Rate (%),34.79,36.90,41.57,35.69,70.98,0,24.38,0,16.67,17.21
Dvd Payout Ratio (%),62.31,60.54,122.97,62.63,178.15,-411.43,91.31,-488.01,64.21,52.66
Sustainable Growth Rate (%),17.06,15.01,0,0,0,0,0,0,0,0
