,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,2485,2693,3273,3760,4240,1933,4029,2539,5727,6046
+ Depreciation & Amortization,513,632,649,662,716,774,720,1119,797,840
+ Non-Cash Items,71,166,502,254,-175,766,592,72,88,-38
+ Stock-Based Compensation,174,177,191,236,215,218,325,429,611,638
+ Deferred Income Taxes,21,-11,-113,-80,-273,647,34,-380,-385,-650
+ Asset Impairment Charge,0,0,0,0,0,0,0,0,0,0
+ Other Non-Cash Adj,-124,0,424,98,-117,-99,233,23,-138,-26
+ Chg in Non-Cash Work Cap,-42,-488,256,-1580,-1141,1482,562,-1245,45,-1660
+ (Inc) Dec in Accts Receiv,142,-298,-216,60,-426,187,-270,1239,-1606,-504
+ (Inc) Dec in Inventories,-197,-505,-621,-590,-231,-255,-490,-1854,507,-1676
+ (Inc) Dec in Prepaid Assets,-28,-210,-144,-161,-120,35,-203,-654,-182,-845
+ Inc (Dec) in Accts Payable,41,525,1237,-889,-364,1515,1525,24,1326,1365
+ Inc (Dec) in Other,0,0,0,0,0,0,0,0,0,0
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,3027,3003,4680,3096,3640,4955,5903,2485,6657,5188
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,14,3,3,10,13,3,5,0,0,0
+ Disp of Fixed Prod Assets,14,3,3,10,13,3,5,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-636,-880,-963,-1143,-1105,-1028,-1119,-1086,-695,-758
+ Acq of Fixed Prod Assets,-636,-880,-963,-1143,-1105,-1028,-1119,-1086,-695,-758
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,-1203,-328,785,93,118,1326,850,27,-3276,-747
+ Dec in LT Investment,2499,5058,5871,5310,6046,6109,3787,2453,6685,12166
+ Inc in LT Investment,-3702,-5386,-5086,-5217,-5928,-4783,-2937,-2426,-9961,-12913
+ Net Cash From Acq & Div,786,0,0,0,0,0,0,0,0,0
+ Cash from Divestitures,786,0,0,0,0,0,0,0,0,0
+ Cash for Acq of Subs,0,0,0,0,0,0,0,0,0,0
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,-28,-2,0,6,-34,-25,0,31,171,-19
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-1067,-1207,-175,-1034,-1008,276,-264,-1028,-3800,-1524
+ Dividends Paid,-703,-799,-899,-1022,-1133,-1243,-1332,-1452,-1638,-1837
+ Net Cash From Debt,937,-77,-26,868,1421,-29,-33,6134,-197,0
+ Cash From Debt,986,0,0,981,1482,0,0,6134,0,0
+ Repayments of Debt,-49,-77,-26,-113,-61,-29,-33,0,-197,0
+ Cash (Repurchase) of Equity,-1674,-2628,-2534,-3238,-3223,-4254,-4286,-3067,-608,-4014
+ Increase in Capital Stock,0,0,0,0,0,0,0,0,0,0
+ Decrease in Capital Stock,-1674,-2628,-2534,-3238,-3223,-4254,-4286,-3067,-608,-4014
+ Other Financing Activities,400,590,669,721,993,691,358,876,984,1015
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,-1040,-2914,-2790,-2671,-1942,-4835,-5293,2491,-1459,-4836
Effect of Foreign Exchange Rates,100,1,-83,-105,-20,45,-129,-66,143,-143
Net Changes in Cash,920,-1118,1715,-609,690,396,346,3948,1398,-1172
EBITDA,3767,4312,4824,5164,5465,5219,5492,4234,7734,7515
EBITDA Margin (%),14.88,15.51,15.76,15.95,15.91,14.34,14.04,11.32,17.36,16.09
Net Cash Paid for Acquisitions,-786,0,0,0,0,0,0,0,0,0
Free Cash Flow,2391,2123,3717,1953,2535,3927,4784,1399,5962,4430
Free Cash Flow to Firm,2391,2098,3695,1938,2484,3903,4743,1321,5737,4244
Free Cash Flow to Equity,3342,2049,3694,2831,3969,3901,4756,7533,5765,4430
Free Cash Flow per Basic Share,1.33,1.20,2.16,1.15,1.53,2.42,3.03,0.90,3.79,2.81
Price/Free Cash Flow,15.61,17.94,15.93,23.10,18.87,20.03,18.27,43.94,29.87,31.42
Cash Flow to Net Income,1.22,1.12,1.43,0.82,0.86,2.56,1.47,0.98,1.16,0.86
