,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,140,150,161,167,174,180,189,196,200,202
Diluted Weighted Avg Shares,135,145,156,165,171,178,197,202,203,204
Basic Weighted Avg Shares,135,145,156,165,171,178,186,193,198,201
Revenue per Share,3.14,4.70,6.46,8.45,11.29,14.67,18.56,23.41,29.78,36.04
EBITDA per Share,-0.31,-0.76,-0.68,-0.42,0.07,0.60,1.58,2.77,3.68,3.92
Operating Income per Share,-0.49,-1.04,-1.07,-0.93,-0.59,-0.24,0.23,1.03,1.30,1.77
"Basic EPS, GAAP",-0.54,-1.23,-1.27,-2.75,-0.87,-0.15,3.36,0.61,1.16,1.62
Basic EPS from Cont Ops,-0.54,-1.23,-1.27,-2.75,-0.87,-0.15,3.36,0.61,1.16,1.62
"Diluted EPS, GAAP",-0.54,-1.23,-1.27,-2.75,-0.87,-0.15,3.18,0.59,1.13,1.59
Diluted EPS from Cont Ops,-0.54,-1.23,-1.27,-2.75,-0.87,-0.15,3.18,0.59,1.13,1.59
Dividend per Share,0,0,0,0,0,0,0,0,0,0
Cash Flow per Share,0.60,0.96,2.02,0.97,3.76,4.56,6.63,9.25,11.07,13.55
Free Cash Flow per Basic Share,0.20,0.58,1.45,0.19,2.84,3.16,4.82,7.01,9.05,10.81
Cash & Equivalents per Share,4.52,4.47,4.98,5.37,10.21,8.31,8.93,15.79,16.55,21.19
Book Value per Share,-1.28,-2.40,-3.46,-5.96,-6.58,-5.43,-1.86,-1.19,-0.02,1.67
Tangible Book Value per Share,2.71,2.13,2.91,1.42,2.11,4.78,9.64,12.46,13.18,19.68
