,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,10.54,11.18,10.51,10.46,11.11,11.67,11.71,11.07,12.22,12.00
Days Sales Outstanding,34.62,32.64,34.74,34.90,32.86,31.28,31.17,32.96,29.88,30.41
Inventory Turnover,32.62,30.98,26.24,22.78,25.99,31.91,29.12,24.73,28.01,30.67
Days Inventory Outstanding,11.19,11.78,13.91,16.02,14.05,11.44,12.53,14.76,13.03,11.90
Accounts Payable Turnover,5.46,5.70,5.75,5.20,4.73,4.70,4.50,4.69,5.19,5.49
Accounts Payable Turnover Days,66.89,64.01,63.44,70.13,77.14,77.66,81.05,77.90,70.30,66.48
Cash Conversion Cycle,-21.09,-19.59,-14.78,-19.21,-30.23,-34.94,-37.35,-30.17,-27.39,-24.17
Inventory to Cash Days,23.43,20.86,20.83,18.88,18.82,19.84,18.63,18.20,16.84,18.51
Inventories,223,236,271,257,222,207,244,221,218,253
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,223,236,271,257,222,207,244,221,218,253
