,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,34.97,22.18,36.16,23.89,15.43,6.94,13.46,22.25,4.88,4.55
Price/Earnings Average,30.90,23.11,40.01,19.72,14.24,8.47,13.21,18.99,3.97,4.48
Price/Earnings High,35.78,26.32,45.44,27.29,16.02,9.43,14.95,24.16,5.52,6.48
Price/Earnings Low,27.02,20.78,32.95,13.60,12.54,6.66,11.06,11.57,2.05,3.05
Price/Book Value,2.34,2.10,1.73,2.44,2.35,1.51,1.50,1.39,1.74,1.34
Price/Book Value Average,2.06,2.19,1.92,2.01,2.17,1.84,1.47,1.19,1.42,1.32
Price/Book Value High,2.39,2.49,2.18,2.78,2.44,2.05,1.67,1.51,1.97,1.91
Price/Book Value Low,1.80,1.97,1.58,1.39,1.91,1.45,1.23,0.72,0.73,0.90
Price/Tangible Book Value,3.36,3.07,2.56,3.56,3.38,2.21,2.16,1.92,2.91,2.71
Price/Tangible Book Value Average,2.97,3.20,2.84,2.94,3.12,2.69,2.12,1.64,2.37,2.67
Price/Tangible Book Value High,3.44,3.64,3.22,4.06,3.51,3.00,2.40,2.09,3.29,3.86
Price/Tangible Book Value Low,2.60,2.88,2.34,2.03,2.75,2.12,1.77,1.00,1.22,1.82
Price/Sales,0.90,0.75,0.79,1.17,1.00,0.65,0.76,0.80,0.91,0.83
Price/Sales Average,0.79,0.78,0.87,0.97,0.93,0.80,0.74,0.68,0.74,0.82
Price/Sales High,0.92,0.89,0.99,1.34,1.04,0.89,0.84,0.87,1.03,1.19
Price/Sales Low,0.69,0.70,0.72,0.67,0.82,0.63,0.62,0.41,0.38,0.56
Price/Cash Flow,15.83,11.79,6.00,10.95,19.35,6.85,6.09,5.95,5.34,3.43
Price/Cash Flow Average,13.99,12.29,6.63,9.04,17.86,8.35,5.98,5.08,4.35,3.38
Price/Cash Flow High,16.20,13.99,7.53,12.51,20.09,9.30,6.77,6.46,6.05,4.89
Price/Cash Flow Low,12.23,11.05,5.46,6.23,15.73,6.57,5.01,3.09,2.25,2.31
Price/Free Cash Flow,7.51,7.88,5.11,8.13,13.60,4.87,4.00,3.79,4.25,2.89
Price/Free Cash Flow Average,6.63,8.21,5.66,6.71,12.55,5.94,3.92,3.23,3.46,2.84
Price/Free Cash Flow High,7.68,9.35,6.42,9.28,14.12,6.61,4.44,4.11,4.81,4.11
Price/Free Cash Flow Low,5.80,7.39,4.66,4.63,11.05,4.67,3.29,1.97,1.79,1.94
EV/Sales,1.06,0.93,0.95,1.33,1.15,0.76,0.88,0.93,0.95,0.88
EV/Sales Average,0.96,0.96,1.04,1.13,1.08,0.90,0.88,0.83,0.80,0.88
EV/Sales High,1.08,1.07,1.15,1.50,1.19,0.99,0.98,1.02,1.07,1.23
EV/Sales Low,0.86,0.88,0.88,0.83,0.97,0.74,0.76,0.57,0.47,0.63
EV/EBITDA,13.12,9.38,8.54,10.16,8.95,4.61,7.37,7.81,3.40,3.15
EV/EBITDA Average,11.85,9.75,9.35,8.67,8.37,5.45,7.36,7.00,2.86,3.15
EV/EBITDA High,13.39,10.85,10.41,11.51,9.27,5.98,8.17,8.56,3.83,4.43
EV/EBITDA Low,10.62,8.95,7.97,6.38,7.52,4.46,6.36,4.78,1.67,2.25
EV/EBIT,21.74,14.38,13.87,15.05,12.41,5.58,10.12,11.62,3.72,3.46
EV/EBIT Average,19.63,14.94,15.18,12.84,11.61,6.60,10.11,10.42,3.13,3.47
EV/EBIT High,22.19,16.62,16.90,17.05,12.85,7.23,11.22,12.72,4.18,4.87
EV/EBIT Low,17.60,13.72,12.95,9.44,10.43,5.39,8.74,7.11,1.82,2.47
Last Price,53.49,49.51,40.34,59.52,63.58,51.90,56.08,52.94,113.85,131.81
High Price,54.73,58.76,50.70,68.00,66.00,70.48,62.31,57.50,128.81,187.90
Low Price,41.32,46.39,36.76,33.90,51.67,49.79,46.10,27.53,47.94,88.50
Enterprise Value,20190,19558,15568,21507,23358,19162,19907,18737,34668,36402
Enterprise Value Average,18235,20324,17036,18346,21849,22652,19893,16800,29171,36479
Enterprise Value High,20613,22609,18962,24360,24178,24840,22088,20523,38997,51197
Enterprise Value Low,16344,18663,14530,13491,19621,18518,17195,11465,16967,26000
