,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cash Ratio,4.94,5.16,2.07,3.74,6.16,5.58,6.11,2.95,4.89,2.03
Current Ratio,5.95,6.38,2.48,4.69,8.03,7.94,7.67,4.09,6.65,3.52
Quick Ratio,5.39,5.69,2.27,4.19,7.26,6.66,7.04,3.56,5.96,2.61
CFO/Avg Current Liab,0.87,0.98,0.70,0.79,2.36,3.02,3.06,2.04,2.21,1.04
Common Equity/Total Assets,48.35,54.85,59.04,62.08,78.18,94.54,86.47,65.68,36.75,24.70
Long-Term Debt/Equity (%),30.83,31.65,0.22,34.52,26.57,21.28,20.91,39.06,43.92,47.98
Long-Term Debt/Capital (%),28.16,26.15,0.17,22.29,18.40,13.66,14.49,24.89,41.64,48.14
Long-Term Debt/Total Assets (%),18.95,19.42,0.14,20.21,17.66,14.96,14.74,22.92,26.45,25.75
Total Debt/Equity (%),30.83,31.65,33.79,48.87,26.77,21.28,21.66,44.97,44.46,53.64
Total Debt/Capital (%),28.16,26.15,25.76,31.55,18.54,13.66,15.00,28.66,42.15,53.82
Total Debt/Total Assets (%),18.95,19.42,20.49,28.61,17.79,14.96,15.26,26.39,26.77,28.79
CFO/Total Liabilities,29.89,32.54,40.50,40.99,92.89,94.76,93.15,48.93,51.82,29.56
CFO/CapEx,3.27,7.40,13.66,9.50,5.91,6.24,9.74,5.16,9.33,3.08
Altman's Z-Score,4.50,5.16,6.04,12.75,27.41,16.84,21.86,19.57,22.53,17.12
