,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,19.67,28.06,33.66,35.64,5.47,0,75.92,0,16.06,27.60
Price/Earnings Average,16.24,23.62,31.64,37.19,8.03,-1.67,68.17,-9.24,18.69,40.40
Price/Earnings High,19.69,28.30,39.16,44.26,9.75,-2.23,87.60,-12.17,22.38,55.81
Price/Earnings Low,13.21,20.66,27.95,26.55,4.86,-1.04,51.78,-5.75,15.14,25.85
Price/Book Value,3.55,4.31,4.92,7.71,2.93,-3.81,-4.14,-3.28,-4.27,-2.85
Price/Book Value Average,2.93,3.63,4.62,8.04,4.30,-5.06,-3.71,-2.61,-4.97,-4.17
Price/Book Value High,3.55,4.34,5.72,9.57,5.22,-6.75,-4.77,-3.44,-5.95,-5.76
Price/Book Value Low,2.38,3.17,4.08,5.74,2.60,-3.13,-2.82,-1.63,-4.03,-2.67
Price/Tangible Book Value,-10.01,-6.55,-5.76,-1.66,-1.41,-2.38,-2.23,-2.78,-3.30,-2.23
Price/Tangible Book Value Average,-8.26,-5.51,-5.42,-1.74,-2.07,-3.16,-2.00,-2.21,-3.84,-3.26
Price/Tangible Book Value High,-10.02,-6.61,-6.70,-2.07,-2.52,-4.21,-2.57,-2.91,-4.60,-4.51
Price/Tangible Book Value Low,-6.72,-4.82,-4.79,-1.24,-1.26,-1.95,-1.52,-1.38,-3.11,-2.09
Price/Sales,1.64,1.85,1.99,1.42,1.02,1.01,0.83,0.95,0.87,0.57
Price/Sales Average,1.35,1.56,1.87,1.48,1.50,1.34,0.75,0.76,1.01,0.84
Price/Sales High,1.64,1.87,2.32,1.76,1.82,1.79,0.96,1.00,1.21,1.16
Price/Sales Low,1.10,1.36,1.65,1.06,0.91,0.83,0.57,0.47,0.82,0.54
Price/Cash Flow,15.43,16.72,20.82,10.29,16.14,12.80,7.75,6.24,10.39,-19.99
Price/Cash Flow Average,12.74,14.07,19.57,10.74,23.69,17.01,6.96,4.97,12.09,-29.26
Price/Cash Flow High,15.44,16.86,24.23,12.78,28.76,22.70,8.94,6.54,14.48,-40.42
Price/Cash Flow Low,10.36,12.31,17.29,7.66,14.34,10.53,5.29,3.09,9.80,-18.72
Price/Free Cash Flow,12.70,13.45,15.28,8.29,11.27,8.18,6.19,5.29,7.88,136.49
Price/Free Cash Flow Average,10.49,11.33,14.36,8.65,16.54,10.87,5.56,4.21,9.17,199.81
Price/Free Cash Flow High,12.71,13.57,17.78,10.29,20.09,14.50,7.14,5.54,10.98,276.01
Price/Free Cash Flow Low,8.53,9.91,12.69,6.17,10.01,6.73,4.22,2.62,7.43,127.83
EV/Sales,1.87,2.20,2.45,2.48,1.70,1.66,1.45,1.50,1.34,1.16
EV/Sales Average,1.59,1.92,2.33,2.55,2.18,1.96,1.36,1.30,1.48,1.43
EV/Sales High,1.87,2.22,2.77,2.87,2.50,2.36,1.57,1.54,1.68,1.75
EV/Sales Low,1.35,1.73,2.12,2.06,1.59,1.50,1.18,1.02,1.29,1.13
EV/EBITDA,11.93,14.36,16.06,20.40,12.19,14.21,11.57,11.28,10.50,10.04
EV/EBITDA Average,10.16,12.50,15.29,20.98,15.60,16.75,10.89,9.82,11.61,12.33
EV/EBITDA High,11.94,14.46,18.18,23.63,17.89,20.17,12.59,11.63,13.18,15.08
EV/EBITDA Low,8.60,11.26,13.87,16.99,11.38,12.85,9.45,7.66,10.10,9.73
EV/EBIT,14.51,17.46,19.84,27.99,17.64,24.96,18.28,15.81,13.83,13.75
EV/EBIT Average,12.37,15.20,18.88,28.79,22.58,29.40,17.20,13.75,15.30,16.88
EV/EBIT High,14.53,17.58,22.45,32.42,25.89,35.42,19.90,16.29,17.37,20.65
EV/EBIT Low,10.47,13.69,17.12,23.31,16.47,22.56,14.93,10.74,13.32,13.32
Last Price,32.35,38.39,43.75,44.65,30.90,18.38,19.12,21.08,21.60,13.08
High Price,32.38,38.73,50.90,55.45,55.08,32.58,22.06,22.09,30.10,26.45
Low Price,21.72,28.27,36.33,33.26,27.46,15.12,13.04,10.44,20.36,12.25
Enterprise Value,10626,12621,14495,32885,25096,14325,14047,14070,14137,11012
Enterprise Value Average,9056,10987,13793,33823,32116,16878,13219,12241,15640,13521
Enterprise Value High,10635,12712,16406,38096,36828,20329,15292,14499,17754,16542
Enterprise Value Low,7665,9896,12512,27389,23427,12947,11472,9555,13609,10669
