,2020,2021,2022
Total Debt,2405,3429,4016
ST Debt,76,28,293
LT Debt,2329,3401,3723
Total Debt/EBITDA,2.37,2.69,2.41
Net Debt/EBITDA,-0.25,0.06,0.75
Total Debt/EBIT,6.52,5.78,4.09
Net Debt/EBIT,-0.70,0.13,1.27
EBITDA to Interest Expense,40.52,24.02,16.86
EBITDA-CapEx/Interest Expense,23.00,16.66,11.82
EBIT to Interest Expense,14.76,11.19,9.91
Interest Expense,25,53,99
Common Equity/Total Assets,-22.68,-17.32,-13.28
Long-Term Debt/Equity (%),27.76,37.19,40.72
Long-Term Debt/Capital (%),-10126.09,233.10,140.49
Long-Term Debt/Total Assets (%),16.33,20.28,21.62
Total Debt/Equity (%),28.67,37.49,43.92
Total Debt/Capital (%),-10456.52,235.02,151.55
Total Debt/Total Assets (%),16.86,20.45,23.32
Net Debt to Equity,-3.08,0.84,13.64
Net Debt/Capital (%),16.75,-9.91,150.60
EBITDA,1013,1273,1669
EBITDA-CapEx,575,883,1170
Operating Income (Loss),369,593,981
