,2020,2021,2022
Cash Ratio,0.57,0.69,0.52
Current Ratio,1.29,1.38,1.16
Quick Ratio,1.01,1.15,0.94
CFO/Avg Current Liab,0,0.42,0.40
Common Equity/Total Assets,-22.68,-17.32,-13.28
Long-Term Debt/Equity (%),27.76,37.19,40.72
Long-Term Debt/Capital (%),-10126.09,233.10,140.49
Long-Term Debt/Total Assets (%),16.33,20.28,21.62
Total Debt/Equity (%),28.67,37.49,43.92
Total Debt/Capital (%),-10456.52,235.02,151.55
Total Debt/Total Assets (%),16.86,20.45,23.32
CFO/Total Liabilities,13.28,16.22,16.76
CFO/CapEx,1.78,3.17,2.71
Altman's Z-Score,1.40,1.82,1.83
