,2020,2021,2022
Shares Outstanding,589,591,584
Diluted Weighted Avg Shares,588,593,593
Basic Weighted Avg Shares,588,590,590
Revenue per Share,15.32,15.85,17.62
EBITDA per Share,1.72,2.16,2.83
Operating Income per Share,0.63,1.00,1.66
"Basic EPS, GAAP",-2.16,0.56,1.06
Basic EPS from Cont Ops,-2.63,0.66,1.29
"Diluted EPS, GAAP",-2.16,0.56,1.05
Diluted EPS from Cont Ops,-2.63,0.66,1.28
Dividend per Share,0.27,0.28,0.30
Cash Flow per Share,1.33,2.10,2.30
Free Cash Flow per Basic Share,0.58,1.43,1.45
Cash & Equivalents per Share,2.58,3.78,3.12
Book Value per Share,-5.50,-4.92,-3.91
Tangible Book Value per Share,4.37,3.92,2.23
