,2020,2021,2022
Return on Common Equity (%),0,0,0
Return on Assets (%),0,2.13,3.67
Return on Capital (%),0,44.12,28.17
Return on Invested Capital (%),0,4.40,7.16
Gross Margin (%),100.00,100.00,100.00
EBITDA Margin (%),11.25,13.60,16.07
Operating Margin (%),4.10,6.34,9.45
Incremental Operating Margin (%),0,64.00,37.78
Pretax Margin (%),-16.92,4.81,7.82
Profit Margin (%),-14.09,3.53,6.00
Net Income to Common Margin (%),-14.09,3.53,6.00
Effective Tax Rate (%),0,13.56,6.40
Dvd Payout Ratio (%),-8.68,36.38,19.51
Sustainable Growth Rate (%),0,0,0
