,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),16866.67,190.36,-88.43,141.60,0,0,0,0,0,0
Return on Assets (%),3.52,1.49,-0.93,1.17,-4.91,-9.80,0.97,-8.47,2.13,3.67
Return on Capital (%),0,0,-39.20,0,0,0,14.56,0,44.12,28.17
Return on Invested Capital (%),0,0,-3.55,0,0,0,3.14,0,4.40,7.16
Gross Margin (%),100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
EBITDA Margin (%),7.74,8.98,9.87,10.15,10.87,11.88,12.35,11.25,13.60,16.07
Operating Margin (%),1.57,2.24,3.73,4.06,5.36,6.65,5.81,4.10,6.34,9.45
Incremental Operating Margin (%),-67.09,-16.40,220.34,-4.40,-64.71,18.53,-1.43,20.26,64.00,37.78
Pretax Margin (%),1.95,-4.63,0.65,2.18,-7.56,-12.07,3.51,-16.92,4.81,7.82
Profit Margin (%),5.69,2.79,-1.70,2.16,-9.07,-16.78,1.54,-14.09,3.53,6.00
Net Income to Common Margin (%),5.69,2.76,-1.73,2.13,-9.09,-16.80,1.54,-14.09,3.53,6.00
Effective Tax Rate (%),0,0,239.29,0,0,0,35.59,0,13.56,6.40
Dvd Payout Ratio (%),3.40,6.34,-254.55,47.70,-27.27,-11.34,53.49,-8.68,36.38,19.51
Sustainable Growth Rate (%),16292.97,178.29,-313.51,74.06,0,0,0,0,0,0
