,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,6.58,6.30,6.40,6.53,6.50,6.25,6.38,6.56,6.93,6.92
Days Sales Outstanding,55.50,57.96,57.04,55.88,56.17,58.41,57.17,55.65,52.67,52.72
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,0.21,0.03,0.03,-0.44,-0.05,0.41,-0.06,0,-0.28,0.16
Accounts Payable Turnover Days,1745.36,10503.89,10443.06,-823.96,-8011.75,898.38,-6622.14,0,-1290.95,2303.28
Cash Conversion Cycle,0,0,0,0,0,0,0,0,0,0
Inventory to Cash Days,0,0,0,0,0,0,0,0,0,0
Inventories,301,310,319,218,208,376,348,348,253,311
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,301,310,319,218,208,376,348,348,253,311
