,2019,2020,2021,2022
Total Debt,7902,8817,15443,18111
ST Debt,704,0,1551,2729
LT Debt,7197,8817,13891,15382
Total Debt/EBITDA,5.91,5.98,8.35,6.08
Net Debt/EBITDA,5.87,5.42,8.21,6.02
Total Debt/EBIT,10.64,11.07,16.22,13.84
Net Debt/EBIT,10.57,10.03,15.95,13.71
EBITDA to Interest Expense,4.59,4.76,5.72,6.69
EBITDA-CapEx/Interest Expense,4.59,4.76,5.72,6.69
EBIT to Interest Expense,2.55,2.58,2.94,2.94
Interest Expense,291,309,324,445
Common Equity/Total Assets,52.77,53.23,58.06,57.71
Long-Term Debt/Equity (%),73.41,80.03,55.28,53.33
Long-Term Debt/Capital (%),40.61,44.33,34.24,32.79
Long-Term Debt/Total Assets (%),38.79,42.51,32.20,30.97
Total Debt/Equity (%),80.59,80.03,61.45,62.79
Total Debt/Capital (%),44.58,44.33,38.07,38.61
Total Debt/Total Assets (%),42.58,42.51,35.80,36.46
Net Debt to Equity,80.04,72.55,60.42,62.20
Net Debt/Capital (%),44.41,41.92,37.67,38.38
EBITDA,1337,1474,1850,2979
EBITDA-CapEx,1337,1474,1850,2979
Operating Income (Loss),743,797,952,1309
