,2019,2020,2021,2022
Cash Ratio,0.06,2.52,0.13,0.05
Current Ratio,0.35,3.45,0.35,0.23
Quick Ratio,0.25,3.39,0.33,0.22
CFO/Avg Current Liab,0,1.74,1.11,0.96
Common Equity/Total Assets,52.77,53.23,58.06,57.71
Long-Term Debt/Equity (%),73.41,80.03,55.28,53.33
Long-Term Debt/Capital (%),40.61,44.33,34.24,32.79
Long-Term Debt/Total Assets (%),38.79,42.51,32.20,30.97
Total Debt/Equity (%),80.59,80.03,61.45,62.79
Total Debt/Capital (%),44.58,44.33,38.07,38.61
Total Debt/Total Assets (%),42.58,42.51,35.80,36.46
CFO/Total Liabilities,12.22,11.47,7.34,12.31
CFO/CapEx,0,0,0,0
Altman's Z-Score,1.57,0.01,-0.08,1.13
