,2019,2020,2021,2022
Shares Outstanding,334,361,591,660
Diluted Weighted Avg Shares,316,345,415,612
Basic Weighted Avg Shares,316,344,415,612
Revenue per Share,4.72,4.80,5.02,5.47
EBITDA per Share,4.23,4.29,4.46,4.87
Operating Income per Share,2.35,2.32,2.30,2.14
"Basic EPS, GAAP",1.38,1.15,0.87,1.42
Basic EPS from Cont Ops,1.39,1.15,0.87,1.43
"Diluted EPS, GAAP",1.38,1.14,0.87,1.42
Diluted EPS from Cont Ops,1.38,1.15,0.87,1.43
Dividend per Share,2.70,2.80,2.82,2.96
Cash Flow per Share,3.38,3.24,3.19,4.19
Free Cash Flow per Basic Share,3.38,3.24,3.19,4.19
Cash & Equivalents per Share,0.16,2.28,0.44,0.26
Book Value per Share,29.35,30.56,42.36,43.41
Tangible Book Value per Share,24.91,25.76,27.36,30.20
