,2019,2020,2021,2022
Return on Common Equity (%),0,3.80,1.99,3.24
Return on Assets (%),0,2.01,1.13,1.87
Return on Capital (%),0,3.68,2.17,2.95
Return on Invested Capital (%),0,4.09,2.89,2.84
Gross Margin (%),94.06,93.67,93.58,93.23
EBITDA Margin (%),89.60,89.23,88.92,89.09
Operating Margin (%),49.78,48.24,45.76,39.13
Incremental Operating Margin (%),0,33.87,36.21,28.22
Pretax Margin (%),29.74,24.90,18.86,27.44
Profit Margin (%),29.26,23.95,17.28,26.00
Net Income to Common Margin (%),29.26,23.95,17.28,26.00
Effective Tax Rate (%),1.39,3.57,8.07,4.92
Dvd Payout Ratio (%),194.34,242.54,322.90,207.15
Sustainable Growth Rate (%),0,-5.41,-4.44,-3.47
