,2018,2019,2020,2021,2022
Total Debt,0,104,1339,9134,8913
ST Debt,0,34,1339,9,8
LT Debt,0,70,0,9125,8905
Total Debt/EBITDA,0,0.02,0.46,4.55,4.65
Net Debt/EBITDA,0,-0.05,0.29,4.19,4.28
Total Debt/EBIT,0,0.03,0.48,5.04,5.23
Net Debt/EBIT,0,-0.06,0.30,4.64,4.81
EBITDA to Interest Expense,0,0,0,7.78,4.54
EBITDA-CapEx/Interest Expense,0,0,0,4.74,2.98
EBIT to Interest Expense,0,0,0,7.02,4.04
Interest Expense,0,0,0,258,422
Common Equity/Total Assets,0,0,-2.07,-9.32,-2.99
Long-Term Debt/Equity (%),0,1.00,0,0,0
Long-Term Debt/Capital (%),0,67.31,0,112.11,103.73
Long-Term Debt/Total Assets (%),0,0.66,0,85.43,81.29
Total Debt/Equity (%),0,1.48,-163.29,-605.70,-999.22
Total Debt/Capital (%),0,100.00,119.23,112.23,103.82
Total Debt/Total Assets (%),0,0.99,12.83,85.52,81.36
Net Debt to Equity,0,-3.06,-102.32,-556.83,-920.07
Net Debt/Capital (%),0,100.00,134.67,113.44,104.16
EBITDA,4379,4173,2936,2006,1917
EBITDA-CapEx,4278,4081,2681,1222,1259
Operating Income (Loss),2706,3840,2779,1811,1705
