,2018,2019,2020,2021,2022
Cash Ratio,0,0.24,0.42,0.28,0.28
Current Ratio,0,2.95,2.86,1.45,1.56
Quick Ratio,0,1.35,1.33,0.82,0.87
CFO/Avg Current Liab,0,4.13,1.72,1.29,0.34
Common Equity/Total Assets,0,0,-2.07,-9.32,-2.99
Long-Term Debt/Equity (%),0,1.00,0,0,0
Long-Term Debt/Capital (%),0,67.31,0,112.11,103.73
Long-Term Debt/Total Assets (%),0,0.66,0,85.43,81.29
Total Debt/Equity (%),0,1.48,-163.29,-605.70,-999.22
Total Debt/Capital (%),0,100.00,119.23,112.23,103.82
Total Debt/Total Assets (%),0,0.99,12.83,85.52,81.36
CFO/Total Liabilities,0,78.76,19.43,20.17,7.24
CFO/CapEx,36.50,30.08,8.58,3.14,1.30
Altman's Z-Score,0,4.39,3.69,2.26,2.65
