,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,7.74
Price/Earnings Average,0,0,0,0,8.78
Price/Earnings High,0,0,0,0,10.94
Price/Earnings Low,0,0,0,0,6.34
Price/Book Value,0,0,0,0,-21.66
Price/Book Value Average,0,0,0,0,-24.57
Price/Book Value High,0,0,0,0,-30.61
Price/Book Value Low,0,0,0,0,-17.74
Price/Tangible Book Value,0,0,0,0,-1.16
Price/Tangible Book Value Average,0,0,0,0,-1.31
Price/Tangible Book Value High,0,0,0,0,-1.63
Price/Tangible Book Value Low,0,0,0,0,-0.95
Price/Sales,0,0,0,0,1.15
Price/Sales Average,0,0,0,0,1.30
Price/Sales High,0,0,0,0,1.62
Price/Sales Low,0,0,0,0,0.94
Price/Cash Flow,0,0,0,0,8.27
Price/Cash Flow Average,0,0,0,0,9.38
Price/Cash Flow High,0,0,0,0,11.69
Price/Cash Flow Low,0,0,0,0,6.78
Price/Free Cash Flow,0,0,0,0,4.70
Price/Free Cash Flow Average,0,0,0,0,5.33
Price/Free Cash Flow High,0,0,0,0,6.64
Price/Free Cash Flow Low,0,0,0,0,3.85
EV/Sales,0,0,0.10,1.33,2.48
EV/Sales Average,0,0,0.10,1.33,2.63
EV/Sales High,0,0,0.10,1.33,2.96
EV/Sales Low,0,0,0.10,1.33,2.27
EV/EBITDA,0,0,0.29,4.19,7.99
EV/EBITDA Average,0,-0.05,0.29,4.19,8.49
EV/EBITDA High,0,-0.05,0.29,4.19,9.52
EV/EBITDA Low,0,-0.05,0.29,4.19,7.32
EV/EBIT,0,0,0.30,4.64,8.98
EV/EBIT Average,0,-0.06,0.30,4.64,9.54
EV/EBIT High,0,-0.06,0.30,4.64,10.70
EV/EBIT Low,0,-0.06,0.30,4.64,8.23
Last Price,0,0,0,0,27.93
High Price,0,0,0,0,39.47
Low Price,0,0,0,0,22.88
Enterprise Value,0,-215,839,8397,15312
Enterprise Value Average,0,-215,839,8397,16266
Enterprise Value High,0,-215,839,8397,18248
Enterprise Value Low,0,-215,839,8397,14027
