,2018,2019,2020,2021,2022
Shares Outstanding,253,253,254,254,254
Diluted Weighted Avg Shares,253,253,253,254,255
Basic Weighted Avg Shares,253,253,253,254,254
Revenue per Share,38.62,30.72,31.98,24.86,24.30
EBITDA per Share,17.30,16.49,11.60,7.91,7.54
Operating Income per Share,10.69,15.17,10.98,7.14,6.71
"Basic EPS, GAAP",8.51,12.71,8.53,5.33,3.61
Basic EPS from Cont Ops,8.51,13.06,8.53,5.33,3.61
"Diluted EPS, GAAP",8.51,12.71,8.53,5.31,3.59
Diluted EPS from Cont Ops,8.51,13.06,8.53,5.31,3.59
Dividend per Share,0,0,0,0.57,1.14
Cash Flow per Share,14.57,10.93,8.64,9.69,3.38
Free Cash Flow per Basic Share,14.17,10.57,7.63,6.60,0.79
Cash & Equivalents per Share,0,1.26,1.97,2.91,2.78
Book Value per Share,0,0,-0.85,-3.92,-1.29
Tangible Book Value per Share,0,7.36,-23.38,-26.67,-24.15
