,2018,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0,0
Return on Assets (%),0,61.02,20.59,12.80,8.48
Return on Capital (%),0,6188.46,352.08,34.10,15.09
Return on Invested Capital (%),0,93.32,56.20,38.04,17.42
Gross Margin (%),52.00,70.76,58.66,62.21,62.84
EBITDA Margin (%),44.79,53.66,36.26,31.82,31.05
Operating Margin (%),27.68,49.38,34.33,28.73,27.62
Incremental Operating Margin (%),0,-56.70,-332.60,54.02,81.54
Pretax Margin (%),27.91,47.52,33.10,24.25,18.17
Profit Margin (%),22.02,41.38,26.68,21.43,14.85
Net Income to Common Margin (%),22.02,41.38,26.68,21.43,14.85
Effective Tax Rate (%),21.11,10.55,19.40,11.64,18.27
Dvd Payout Ratio (%),0,0,0,10.73,31.62
Sustainable Growth Rate (%),0,0,0,0,0
