,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,10.55,6.31,5.10,4.32
Days Sales Outstanding,0,34.59,57.84,71.62,84.45
Inventory Turnover,0,4.25,3.37,2.61,2.39
Days Inventory Outstanding,0,85.95,108.18,140.05,152.59
Accounts Payable Turnover,0,25.93,12.34,2.91,1.89
Accounts Payable Turnover Days,0,14.08,29.59,125.62,192.61
Cash Conversion Cycle,0,106.47,136.44,86.05,44.43
Inventory to Cash Days,0,-51.36,-50.34,-68.43,-68.14
Inventories,0,1071,913,915,1003
Raw Materials,0,0,0,0,0
Work In Process,0,0,0,0,0
Finished Goods,0,0,0,0,0
Other Inventory,0,1071,913,915,1003
