,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,14585,15318,15134,15417,15274,15290,14954,13171,14289,14289
+ Sales & Services Revenue,14585,15318,15134,15417,15274,15290,14954,13171,14289,14289
- Cost of Revenue,10724,11350,11362,12671,12482,12437,12194,10989,11500,11608
+ Cost of Goods & Services,10724,11350,11362,12671,12482,12437,12194,10989,11500,11608
Gross Profit,3860,3968,3773,2746,2792,2853,2760,2182,2790,2681
+ Other Operating Income,0,-11350,0,0,0,0,0,0,0,0
- Operating Expenses,1993,13374,1852,737,732,719,637,583,592,598
"+ Selling, General & Admin",1993,13267,1852,444,450,455,406,361,380,379
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,107,0,293,282,264,232,223,212,219
Operating Income (Loss),1867,1944,1920,2009,2060,2134,2122,1599,2198,2083
- Non-Operating (Income) Loss,206,134,142,167,175,209,184,190,209,138
"+ Interest Expense, Net",164,91,142,125,175,209,184,190,209,138
+ Interest Expense,197,134,181,167,225,266,244,222,236,209
- Interest Income,33,43,40,43,50,57,60,32,27,71
+ Other Non-Op (Income) Loss,41,43,0,43,0,0,0,0,0,0
Pretax Income,1661,1810,1779,1842,1885,1924,1938,1409,1989,1945
- Income Tax Expense (Benefit),565,593,584,601,696,493,504,382,489,547
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,1112,1233,1203,1247,1192,1441,1436,1021,1508,1404
- Net Extraordinary Losses (Gains),241,258,219,196,208,228,194,151,200,175
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,241,258,219,196,208,228,194,151,200,175
Income (Loss) Incl. MI,871,975,984,1051,985,1212,1242,870,1308,1229
- Minority Interest,-120,-129,-109,-98,-104,-114,-97,-75,-100,-87
"Net Income, GAAP",991,1104,1094,1149,1088,1326,1339,945,1408,1317
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",991,1104,1094,1149,1088,1326,1339,945,1408,1317
Basic Weighted Avg Shares,259,254,244,238,232,227,220,216,214,206
"Basic EPS, GAAP",3.83,4.35,4.48,4.83,4.69,5.85,6.09,4.38,6.57,6.40
Basic EPS from Cont Ops,4.29,4.86,4.93,5.24,5.13,6.36,6.53,4.73,7.03,6.83
Diluted Weighted Avg Shares,260,255,245,239,234,228,221,216,216,207
"Diluted EPS, GAAP",3.81,4.32,4.46,4.80,4.65,5.83,6.06,4.37,6.53,6.36
Diluted EPS from Cont Ops,4.27,4.83,4.91,5.21,5.10,6.33,6.50,4.72,6.99,6.78
EBITDA,2152,2239,2211,2302,2342,2398,2354,1821,2410,2303
EBITDA Margin (%),14.75,14.61,14.61,14.93,15.33,15.68,15.74,13.83,16.87,16.12
EBITA,1867,2131,1920,2009,2060,2134,2122,1599,2198,2083
EBIT,1867,1944,1920,2009,2060,2134,2122,1599,2198,2083
Gross Margin (%),26.47,25.90,24.93,17.81,18.28,18.66,18.45,16.57,19.52,18.76
Operating Margin (%),12.80,12.69,12.69,13.03,13.49,13.95,14.19,12.14,15.38,14.58
Profit Margin (%),6.80,7.21,7.23,7.45,7.13,8.67,8.95,7.18,9.85,9.21
Sales per Employee,203127,206997,202061,196394,197589,217190,213624,205477,199294,192575
Dividend per Share,1.23,1.84,2.03,2.12,2.22,2.42,2.57,2.61,2.76,2.83
Depreciation Expense,285,107,291,293,282,264,232,223,212,219
