,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,19.33,17.85,17.11,17.63,15.54,12.36,13.28,14.11,11.23,12.74
Price/Earnings Average,16.31,16.52,16.48,16.90,16.94,12.52,12.80,13.44,11.26,11.56
Price/Earnings High,19.34,18.05,18.08,18.57,18.66,14.24,13.96,18.51,13.15,14.31
Price/Earnings Low,13.17,14.73,14.31,13.77,13.94,11.25,11.74,10.15,9.19,9.57
Price/Book Value,2.11,1.99,1.79,3.49,2.68,2.29,2.24,1.62,1.71,1.69
Price/Book Value Average,1.78,1.84,1.73,3.35,2.92,2.32,2.16,1.54,1.71,1.53
Price/Book Value High,2.11,2.01,1.90,3.68,3.22,2.64,2.35,2.12,2.00,1.90
Price/Book Value Low,1.44,1.64,1.50,2.73,2.40,2.09,1.98,1.16,1.40,1.27
Price/Tangible Book Value,-3.64,-3.25,-3.00,-2.96,-2.56,-2.43,-2.74,-2.10,-2.46,-2.81
Price/Tangible Book Value Average,-3.07,-3.01,-2.89,-2.84,-2.79,-2.46,-2.64,-2.00,-2.47,-2.55
Price/Tangible Book Value High,-3.64,-3.29,-3.17,-3.12,-3.07,-2.80,-2.88,-2.76,-2.88,-3.15
Price/Tangible Book Value Low,-2.48,-2.68,-2.51,-2.31,-2.29,-2.21,-2.42,-1.51,-2.02,-2.11
Price/Sales,1.31,1.29,1.24,1.31,1.11,1.07,1.19,1.01,1.11,1.17
Price/Sales Average,1.11,1.19,1.19,1.26,1.21,1.09,1.15,0.96,1.11,1.07
Price/Sales High,1.31,1.30,1.31,1.38,1.33,1.24,1.25,1.33,1.30,1.32
Price/Sales Low,0.89,1.06,1.03,1.03,0.99,0.98,1.05,0.73,0.91,0.88
Price/Cash Flow,10.59,13.34,8.61,10.48,8.36,9.52,9.58,7.74,8.13,18.10
Price/Cash Flow Average,8.94,12.35,8.30,10.05,9.11,9.64,9.23,7.37,8.15,16.43
Price/Cash Flow High,10.60,13.50,9.10,11.05,10.04,10.96,10.07,10.15,9.52,20.33
Price/Cash Flow Low,7.21,11.01,7.21,8.19,7.50,8.66,8.47,5.56,6.65,13.61
Price/Free Cash Flow,9.53,11.73,7.91,9.71,7.81,8.58,9.13,7.43,6.09,16.81
Price/Free Cash Flow Average,8.05,10.85,7.62,9.31,8.51,8.69,8.80,7.08,6.11,15.26
Price/Free Cash Flow High,9.54,11.86,8.36,10.23,9.38,9.89,9.59,9.75,7.13,18.87
Price/Free Cash Flow Low,6.49,9.68,6.62,7.58,7.01,7.81,8.07,5.34,4.98,12.63
EV/Sales,1.43,1.42,1.37,1.45,1.21,1.18,1.35,1.15,1.21,1.37
EV/Sales Average,1.23,1.33,1.33,1.40,1.30,1.19,1.31,1.10,1.21,1.27
EV/Sales High,1.43,1.44,1.44,1.52,1.43,1.34,1.41,1.46,1.39,1.52
EV/Sales Low,1.01,1.20,1.17,1.17,1.09,1.08,1.21,0.86,1.01,1.09
EV/EBITDA,9.69,9.74,9.39,9.73,7.87,7.50,8.58,8.30,7.16,8.51
EV/EBITDA Average,8.32,9.10,9.09,9.38,8.51,7.59,8.31,7.95,7.18,7.87
EV/EBITDA High,9.71,9.84,9.87,10.20,9.30,8.53,8.96,10.58,8.26,9.42
EV/EBITDA Low,6.88,8.24,8.04,7.84,7.13,6.90,7.71,6.25,6.00,6.75
EV/EBIT,11.17,11.21,10.81,11.15,8.94,8.43,9.52,9.46,7.85,9.40
EV/EBIT Average,9.59,10.48,10.46,10.75,9.67,8.53,9.22,9.06,7.87,8.70
EV/EBIT High,11.19,11.32,11.36,11.69,10.58,9.59,9.94,12.05,9.05,10.41
EV/EBIT Low,7.93,9.49,9.26,8.98,8.11,7.75,8.55,7.12,6.58,7.46
Last Price,73.99,77.60,76.63,85.11,72.83,72.32,80.91,61.89,73.76,81.57
High Price,74.04,78.49,80.98,89.66,87.43,83.34,85.05,81.17,86.38,91.61
Low Price,50.40,64.03,64.12,66.48,65.32,65.85,71.50,44.50,60.37,61.31
Enterprise Value,20856,21795,20756,22399,18424,17986,20195,15124,17257,19592
Enterprise Value Average,17902,20374,20094,21596,19924,18204,19559,14487,17299,18129
Enterprise Value High,20887,22017,21814,23488,21783,20459,21098,19269,19896,21688
Enterprise Value Low,14798,18450,17772,18048,16696,16543,18156,11385,14457,15546
