,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Sales/Revenue/Turnover,38275,38226,37047,37728,39831,39506,39068,40479,42440,49954
+ Sales & Services Revenue,38275,38226,37047,37728,39831,39506,39068,40479,42440,49954
- Cost of Revenue,7236,7532,7479,7469,8081,7995,7938,7855,8877,13564
+ Cost of Goods & Services,7236,7532,7479,7469,8081,7995,7938,7855,8877,13564
Gross Profit,31039,30694,29568,30259,31750,31511,31130,32624,33563,36390
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,16056,16405,16464,16983,17431,17489,16928,16842,17733,22617
"+ Selling, General & Admin",8605,8732,9039,9373,9720,9774,9275,8936,9364,10412
+ Research & Development,5151,5524,5787,6159,6091,6026,6067,6527,7219,8623
+ Other Operating Expense,2300,2149,1638,1451,1620,1689,1586,1379,1150,3582
Operating Income (Loss),14983,14289,13104,13276,14319,14022,14202,15782,15830,13773
- Non-Operating (Income) Loss,1279,1455,1662,1759,1428,1754,2139,2783,8181,4647
"+ Interest Expense, Net",651,794,929,996,824,990,1468,2395,2661,3505
+ Interest Expense,914,1143,1467,1798,2025,2082,1995,2496,2755,3505
- Interest Income,263,349,538,802,1201,1092,527,101,94,0
+ Other Non-Op (Income) Loss,628,661,733,763,604,764,671,388,5520,1142
Pretax Income,13704,12834,11442,11517,12891,12268,12063,12999,7649,9126
- Income Tax Expense (Benefit),2749,2896,2541,2182,9066,1185,1928,-747,932,623
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,10955,9938,8901,9335,3825,11083,10135,13746,6717,8503
- Net Extraordinary Losses (Gains),0,0,0,0,0,0,0,0,0,0
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,10955,9938,8901,9335,3825,11083,10135,13746,6717,8503
- Minority Interest,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",10955,9938,8901,9335,3825,11083,10135,13746,6717,8503
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",10955,9938,8901,9335,3825,11083,10135,13746,6717,8503
Basic Weighted Avg Shares,4528,4404,4221,4115,4121,3634,3211,2945,2700,2696
"Basic EPS, GAAP",2.42,2.26,2.11,2.27,0.93,3.05,3.16,4.67,2.49,3.15
Basic EPS from Cont Ops,2.42,2.26,2.11,2.27,0.93,3.05,3.16,4.67,2.49,3.15
Diluted Weighted Avg Shares,4604,4503,4305,4217,4238,3732,3294,3022,2786,2766
"Diluted EPS, GAAP",2.38,2.21,2.07,2.21,0.90,2.97,3.08,4.55,2.41,3.07
Diluted EPS from Cont Ops,2.38,2.21,2.07,2.21,0.90,2.97,3.08,4.55,2.41,3.07
EBITDA,17891,17150,15613,15727,17104,16941,17170,18698,18952,19881
EBITDA Margin (%),46.74,44.86,42.14,41.69,42.94,42.88,43.95,46.19,44.66,39.80
EBITA,14983,14289,13104,13276,14319,14022,14202,15782,15830,13773
EBIT,14983,14289,13104,13276,14319,14022,14202,15782,15830,13773
Gross Margin (%),81.09,80.30,79.81,80.20,79.71,79.76,79.68,80.59,79.08,72.85
Operating Margin (%),39.15,37.38,35.37,35.19,35.95,35.49,36.35,38.99,37.30,27.57
Profit Margin (%),28.62,26.00,24.03,24.74,9.60,28.05,25.94,33.96,15.83,17.02
Sales per Employee,313730,289591,272404,273391,290737,290485,289393,306659,296783,0
Dividend per Share,0.48,0.51,0.60,0.64,0.76,0.81,0.96,1.04,1.28,1.36
Depreciation Expense,2908,2861,2509,2451,2785,2919,2968,2916,3122,6108
