,2017,2018,2019,2020,2021,2022
Total Debt,0,27,560,6330,7609,7083
ST Debt,0,27,174,701,24,670
LT Debt,0,0,386,5629,7585,6413
Total Debt/EBITDA,0,0.01,0.28,3.46,3.29,3.18
Net Debt/EBITDA,0,-0.64,-0.71,2.28,2.47,2.51
Total Debt/EBIT,0,0.01,0.31,3.86,3.61,3.48
Net Debt/EBIT,0,-0.71,-0.78,2.55,2.71,2.74
EBITDA to Interest Expense,52.33,54.73,51.13,-15.00,-16.99,-15.55
EBITDA-CapEx/Interest Expense,49.00,50.08,47.41,-13.50,-15.85,-14.75
EBIT to Interest Expense,47.90,49.59,46.51,-13.43,-15.50,-14.22
Interest Expense,40,37,39,-122,-136,-143
Common Equity/Total Assets,0,24.93,25.37,-28.17,-17.40,-27.53
Long-Term Debt/Equity (%),0,0,16.60,0,0,0
Long-Term Debt/Capital (%),0,0,10.59,142.72,124.08,139.84
Long-Term Debt/Total Assets (%),0,0,3.98,52.56,61.77,65.31
Total Debt/Equity (%),0,1.22,24.08,-197.75,-254.99,-151.87
Total Debt/Capital (%),0,0.92,15.37,160.50,124.47,154.45
Total Debt/Total Assets (%),0,0.30,5.78,59.10,61.97,72.14
Net Debt to Equity,0,-58.78,-60.49,-130.62,-191.29,-119.62
Net Debt/Capital (%),0,-80.32,-64.01,193.39,125.51,164.23
EBITDA,2093,2025,1994,1830,2311,2224
EBITDA-CapEx,1960,1853,1849,1647,2155,2109
Operating Income (Loss),1916,1835,1814,1639,2108,2033
