,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,0,0,26.25
Price/Earnings Average,0,0,0,0,0,24.03
Price/Earnings High,0,0,0,0,0,31.12
Price/Earnings Low,0,0,0,0,0,12.74
Price/Book Value,0,0,0,0,0,-12.02
Price/Book Value Average,0,0,0,0,0,-11.00
Price/Book Value High,0,0,0,0,0,-14.25
Price/Book Value Low,0,0,0,0,0,-5.83
Price/Tangible Book Value,0,0,0,0,0,-4.92
Price/Tangible Book Value Average,0,0,0,0,0,-4.51
Price/Tangible Book Value High,0,0,0,0,0,-5.83
Price/Tangible Book Value Low,0,0,0,0,0,-2.39
Price/Sales,0,0,0,0,0,2.40
Price/Sales Average,0,0,0,0,0,2.20
Price/Sales High,0,0,0,0,0,2.85
Price/Sales Low,0,0,0,0,0,1.17
Price/Cash Flow,0,0,0,0,0,21.08
Price/Cash Flow Average,0,0,0,0,0,19.30
Price/Cash Flow High,0,0,0,0,0,25.00
Price/Cash Flow Low,0,0,0,0,0,10.23
Price/Free Cash Flow,0,0,0,0,0,19.78
Price/Free Cash Flow Average,0,0,0,0,0,18.10
Price/Free Cash Flow High,0,0,0,0,0,23.45
Price/Free Cash Flow Low,0,0,0,0,0,9.60
EV/Sales,0,0,0,0.41,0.47,2.82
EV/Sales Average,0,0,0,0.41,0.47,2.62
EV/Sales High,0,0,0,0.41,0.47,3.26
EV/Sales Low,0,0,0,0.41,0.47,1.60
EV/EBITDA,0,0,0,2.83,2.89,17.35
EV/EBITDA Average,0,-0.32,-0.13,2.83,2.89,16.11
EV/EBITDA High,0,-0.32,-0.13,2.83,2.89,20.06
EV/EBITDA Low,0,-0.32,-0.13,2.83,2.89,9.83
EV/EBIT,0,0,0,3.16,3.17,18.98
EV/EBIT Average,0,-0.36,-0.14,3.16,3.17,17.63
EV/EBIT High,0,-0.36,-0.14,3.16,3.17,21.94
EV/EBIT Low,0,-0.36,-0.14,3.16,3.17,10.75
Last Price,0,0,0,0,0,78.31
High Price,0,0,0,0,0,92.84
Low Price,0,0,0,0,0,38.00
Enterprise Value,0,-656,-260,5179,6685,38583
Enterprise Value Average,0,-656,-260,5179,6685,35835
Enterprise Value High,0,-656,-260,5179,6685,44610
Enterprise Value Low,0,-656,-260,5179,6685,21862
